# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 285.831 h/Mpc,
# number of wavenumbers equal to 587
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_dmeff/k2            4:-T_b/k2                5:-T_g/k2                6:-T_ur/k2               7:-T_ncdm/k2             8:-T_tot/k2          
       2.843750755419e-02       1.194096179377e+05       1.194096097496e+05       8.707153732559e+04       1.169206816001e+03       7.467619027852e+02       0.000000000000e+00       1.108175555383e+05 
       2.926814765147e-02       1.166372866031e+05       1.166372788238e+05       8.373168758303e+04       9.962551431489e+02       7.517755133767e+02       0.000000000000e+00       1.080321074134e+05 
       3.012317790101e-02       1.138665711181e+05       1.138665637266e+05       8.046138933876e+04       8.596963501242e+02       7.800032512657e+02       0.000000000000e+00       1.052599446443e+05 
       3.100337257465e-02       1.111019908912e+05       1.111019838677e+05       7.727348012968e+04       8.168025717551e+02       7.744033172794e+02       0.000000000000e+00       1.025070986686e+05 
       3.190955169256e-02       1.083482788786e+05       1.083482722044e+05       7.418109948710e+04       8.755019605990e+02       7.046360402295e+02       0.000000000000e+00       9.977929873570e+04 
       3.284258866277e-02       1.056103457231e+05       1.056103393802e+05       7.119754251600e+04       9.863352269449e+02       5.862490636680e+02       0.000000000000e+00       9.708200187821e+04 
       3.380341899342e-02       1.028932335508e+05       1.028932275223e+05       6.833607697163e+04       1.065430886198e+03       4.703023808896e+02       0.000000000000e+00       9.442059084419e+04 
       3.479304992603e-02       1.002020643369e+05       1.002020586066e+05       6.560973921130e+04       1.039093320027e+03       4.059948261731e+02       0.000000000000e+00       9.180061806836e+04 
       3.581257071895e-02       9.754198203353e+04       9.754197658626e+04       6.303110392862e+04       8.858420036120e+02       4.032064971644e+02       0.000000000000e+00       8.922800035669e+04 
       3.686316318162e-02       9.491809217914e+04       9.491808700041e+04       6.061202915137e+04       6.498037111280e+02       4.250477188466e+02       0.000000000000e+00       8.670907621009e+04 
       3.794611193634e-02       9.233539731506e+04       9.233539239114e+04       5.836337265678e+04       4.148783813584e+02       4.193771285896e+02       0.000000000000e+00       8.425044701112e+04 
       3.906281378061e-02       8.979873054560e+04       8.979872586349e+04       5.629468424551e+04       2.549201262153e+02       3.649308507475e+02       0.000000000000e+00       8.185857380921e+04 
       4.021478545955e-02       8.731268406051e+04       8.731267960786e+04       5.441386144321e+04       1.938382097333e+02       2.901313739473e+02       0.000000000000e+00       7.953920298594e+04 
       4.140366915155e-02       8.488152972939e+04       8.488152549453e+04       5.272676968898e+04       2.038496519515e+02       2.435242677780e+02       0.000000000000e+00       7.729684920039e+04 
       4.263123503730e-02       8.250912530641e+04       8.250912127824e+04       5.123682585954e+04       2.390919158629e+02       2.427125500658e+02       0.000000000000e+00       7.513461068408e+04 
       4.389938046789e-02       8.019878497623e+04       8.019878114423e+04       4.994450866113e+04       2.733233665346e+02       2.551776471963e+02       0.000000000000e+00       7.305440298109e+04 
       4.521012546885e-02       7.795322740871e+04       7.795322376288e+04       4.884694196963e+04       2.872765361548e+02       2.435432740392e+02       0.000000000000e+00       7.105722266103e+04 
       4.656560459641e-02       7.577446551786e+04       7.577446204869e+04       4.793740251971e+04       2.757225717913e+02       2.043811885743e+02       0.000000000000e+00       6.914350220208e+04 
       4.796805547135e-02       7.366340134083e+04       7.366339803926e+04       4.720455678380e+04       1.844739000418e+02       1.841672226648e+02       0.000000000000e+00       6.731173108523e+04 
       4.941980461605e-02       7.162034832955e+04       7.162034518695e+04       4.663266358877e+04       1.694893676171e+02       1.692071140614e+02       0.000000000000e+00       6.556221276915e+04 
       5.092325147212e-02       6.964356874874e+04       6.964356575686e+04       4.619988539709e+04       1.557640276810e+02       1.555041275611e+02       0.000000000000e+00       6.388870716932e+04 
       5.248085164261e-02       6.773044032220e+04       6.773043747315e+04       4.587935569990e+04       1.431761947375e+02       1.429367959658e+02       0.000000000000e+00       6.228479576041e+04 
       5.409510045995e-02       6.587687683416e+04       6.587687412035e+04       4.563869968191e+04       1.316120125570e+02       1.313914662710e+02       0.000000000000e+00       6.074199336028e+04 
       5.576851792290e-02       6.407726714153e+04       6.407726455570e+04       4.544032543590e+04       1.209656557130e+02       1.207625005851e+02       0.000000000000e+00       5.924974511757e+04 
       5.750363588241e-02       6.232448953986e+04       6.232448707501e+04       4.524210592327e+04       1.111396647076e+02       1.109526103930e+02       0.000000000000e+00       5.779554700103e+04 
       5.930298811704e-02       6.061002547698e+04       6.061002312638e+04       4.499852998694e+04       1.020453919895e+02       1.018733015364e+02       0.000000000000e+00       5.636522175537e+04 
       6.116910365946e-02       5.892419829735e+04       5.892419605453e+04       4.466238230345e+04       9.360352163871e+01       9.344539278671e+01       0.000000000000e+00       5.494338071918e+04 
       6.310450345724e-02       5.725655280206e+04       5.725655066075e+04       4.418697150418e+04       8.574459113339e+01       8.559953657860e+01       0.000000000000e+00       5.351408738007e+04 
       6.511170020655e-02       5.559638571820e+04       5.559638367238e+04       4.352889084855e+04       7.840943813591e+01       7.827666499214e+01       0.000000000000e+00       5.206172836320e+04 
       6.719320101145e-02       5.393341817312e+04       5.393341621697e+04       4.265121137899e+04       7.154947107639e+01       7.142825996796e+01       0.000000000000e+00       5.057206865634e+04 
       6.935151240297e-02       5.225858674240e+04       5.225858487031e+04       4.152694588905e+04       6.512666705627e+01       6.501635144857e+01       0.000000000000e+00       4.903344625744e+04 
       7.158914720189e-02       5.056490848568e+04       5.056490669225e+04       4.014253065527e+04       5.911320497856e+01       5.901315151380e+01       0.000000000000e+00       4.743802968355e+04 
       7.390863271475e-02       4.884835507943e+04       4.884835335945e+04       3.850098343092e+04       5.349066559834e+01       5.340025632615e+01       0.000000000000e+00       4.578303118878e+04 
       7.631251980077e-02       4.710865351507e+04       4.710865186354e+04       3.662433769378e+04       4.824876694609e+01       4.816738438238e+01       0.000000000000e+00       4.407174489061e+04 
       7.880339242049e-02       4.534991286227e+04       4.534991127435e+04       3.455488812397e+04       4.338364210291e+01       4.331065803657e+01       0.000000000000e+00       4.231425404859e+04 
       8.138387736120e-02       4.358096299180e+04       4.358096146285e+04       3.235478855685e+04       3.889571408803e+01       3.883048293974e+01       0.000000000000e+00       4.052764170215e+04 
       8.405665391708e-02       4.181528644664e+04       4.181528497219e+04       3.010358920241e+04       3.478726845143e+01       3.472912577960e+01       0.000000000000e+00       3.873554232427e+04 
       8.682446337732e-02       4.007042970923e+04       4.007042828498e+04       2.789342651005e+04       3.105986495690e+01       3.100813139522e+01       0.000000000000e+00       3.696689645473e+04 
       8.969011823669e-02       3.836681744152e+04       3.836681606333e+04       2.582181522302e+04       2.771177936664e+01       2.766576984807e+01       0.000000000000e+00       3.525383825358e+04 
       9.265651109151e-02       3.672596287231e+04       3.672596153617e+04       2.398232216901e+04       2.473570763227e+01       2.469474523007e+01       0.000000000000e+00       3.362875505126e+04 
       9.572662321744e-02       3.516817494359e+04       3.516817364565e+04       2.245382864054e+04       2.211699822662e+01       2.208043136100e+01       0.000000000000e+00       3.212071333854e+04 
       9.890353284767e-02       3.370998979056e+04       3.370998852708e+04       2.128955121236e+04       1.983268258774e+01       1.979990379068e+01       0.000000000000e+00       3.075162254455e+04 
       1.021904231825e-01       3.236166082444e+04       3.236165959180e+04       2.050738903151e+04       1.785151985562e+01       1.782198387644e+01       0.000000000000e+00       2.953265806630e+04 
       1.055905901652e-01       3.112510259631e+04       3.112510139100e+04       2.008340130735e+04       1.613516460141e+01       1.610840347985e+01       0.000000000000e+00       2.846155204446e+04 
       1.091074500596e-01       2.999268483449e+04       2.999268365312e+04       1.995018947613e+04       1.464041136917e+01       1.461604426596e+01       0.000000000000e+00       2.752135669285e+04 
       1.127445468592e-01       2.894724273978e+04       2.894724157906e+04       2.000160953653e+04       1.332231451895e+01       1.330005057194e+01       0.000000000000e+00       2.668120470413e+04 
       1.165055595513e-01       2.796360193324e+04       2.796360078999e+04       2.010451929695e+04       1.213784244098e+01       1.211747567292e+01       0.000000000000e+00       2.589942131005e+04 
       1.203943092539e-01       2.701178260474e+04       2.701178147590e+04       2.011716096502e+04       1.104961501591e+01       1.103101131320e+01       0.000000000000e+00       2.512905774481e+04 
       1.244147662312e-01       2.606172260327e+04       2.606172148590e+04       1.991225507888e+04       1.002916582257e+01       1.001224321853e+01       0.000000000000e+00       2.432540903544e+04 
       1.285710567906e-01       2.508885219725e+04       2.508885108852e+04       1.940116962820e+04       9.059109144465e+00       9.043813949565e+00       0.000000000000e+00       2.345439441528e+04 
       1.328674700501e-01       2.407933173069e+04       2.407933062788e+04       1.855409472443e+04       8.133654588762e+00       8.119937021969e+00       0.000000000000e+00       2.250002674172e+04 
       1.373084645632e-01       2.303357633162e+04       2.303357523211e+04       1.741073479342e+04       7.257187568222e+00       7.244981019643e+00       0.000000000000e+00       2.146897874772e+04 
       1.418986747771e-01       2.196696543431e+04       2.196696433555e+04       1.607710160844e+04       6.441067444067e+00       6.430275048738e+00       0.000000000000e+00       2.039064694224e+04 
       1.466429172938e-01       2.090722944027e+04       2.090722833973e+04       1.470657852577e+04       5.699233451483e+00       5.689724304991e+00       0.000000000000e+00       1.931200926578e+04 
       1.515461968959e-01       1.988859061776e+04       1.988858951294e+04       1.346703278056e+04       5.043482047234e+00       5.035097493204e+00       0.000000000000e+00       1.828762262647e+04 
       1.566137122929e-01       1.894336406862e+04       1.894336295696e+04       1.249987152496e+04       4.479384912009e+00       4.471953236473e+00       0.000000000000e+00       1.736627387755e+04 
       1.618508615317e-01       1.809281898949e+04       1.809281786842e+04       1.188100767025e+04       4.003831208383e+00       3.997187017043e+00       0.000000000000e+00       1.657733536443e+04 
       1.672632470110e-01       1.734017110994e+04       1.734016997686e+04       1.159603276476e+04       3.604959788857e+00       3.598962847697e+00       0.000000000000e+00       1.592111693284e+04 
       1.728566800261e-01       1.666863290749e+04       1.666863175979e+04       1.154031815509e+04       3.264654519634e+00       3.259202660581e+00       0.000000000000e+00       1.536729999996e+04 
       1.786371847629e-01       1.604821779043e+04       1.604821662553e+04       1.155125951567e+04       2.963392254964e+00       2.958423666676e+00       0.000000000000e+00       1.486560427159e+04 
       1.846110016472e-01       1.543971600762e+04       1.543971482302e+04       1.145276587381e+04       2.683827819287e+00       2.679315316639e+00       0.000000000000e+00       1.435611332337e+04 
       1.907845899455e-01       1.480828452332e+04       1.480828331662e+04       1.111687715655e+04       2.415041420592e+00       2.410977976694e+00       0.000000000000e+00       1.379013465696e+04 
       1.971646295003e-01       1.414198290223e+04       1.414198167107e+04       1.051835824360e+04       2.155379506525e+00       2.151758609751e+00       0.000000000000e+00       1.315395237256e+04 
