# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 285.831 h/Mpc,
# number of wavenumbers equal to 587
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:t_g                    3:t_b                    4:t_cdm                  5:t_dmeff                6:t_ur                   7:t_tot              
       7.787267340214e-05       9.083683795779e-07       9.089185124479e-07       9.089190073303e-07       9.089190041784e-07       9.083315874107e-07       9.088972748903e-07 
       8.014659651953e-05       9.621571072986e-07       9.627743455021e-07       9.627749006744e-07       9.627748971379e-07       9.621158278948e-07       9.627505173319e-07 
       8.248691939074e-05       1.019128687425e-06       1.019821217986e-06       1.019821840805e-06       1.019821836837e-06       1.019082373550e-06       1.019794483146e-06 
       8.489558092359e-05       1.079471187818e-06       1.080248196465e-06       1.080248895184e-06       1.080248890732e-06       1.079419225467e-06       1.080218200343e-06 
       8.737457664304e-05       1.143383755402e-06       1.144255548539e-06       1.144256332362e-06       1.144256327366e-06       1.143325455902e-06       1.144221893218e-06 
       8.992596034440e-05       1.211077265374e-06       1.212055406138e-06       1.212056285513e-06       1.212056279908e-06       1.211011855661e-06       1.212017645270e-06 
       9.255184579492e-05       1.282775001372e-06       1.283872466287e-06       1.283873453682e-06       1.283873447393e-06       1.282701612160e-06       1.283830099538e-06 
       9.525440848495e-05       1.358713397089e-06       1.359944745506e-06       1.359945852540e-06       1.359945845484e-06       1.358631059866e-06       1.359897209715e-06 
       9.803588743031e-05       1.439142808319e-06       1.440524356081e-06       1.440525598053e-06       1.440525590135e-06       1.439050430326e-06       1.440471021858e-06 
       1.008985870272e-04       1.524328256700e-06       1.525878338557e-06       1.525879731987e-06       1.525879723104e-06       1.524224613337e-06       1.525818498147e-06 
       1.038448789616e-04       1.614550395819e-06       1.616289564793e-06       1.616291128087e-06       1.616291118120e-06       1.614434113924e-06       1.616222424714e-06 
       1.068772041737e-04       1.710106498066e-06       1.712057694203e-06       1.712059447188e-06       1.712059436004e-06       1.709976043306e-06       1.711982368215e-06 
       1.099980748807e-04       1.811310825253e-06       1.813500032353e-06       1.813501999119e-06       1.813501986571e-06       1.811164463270e-06       1.813415517996e-06 
       1.132100766576e-04       1.918496503744e-06       1.920952777793e-06       1.920954984478e-06       1.920954970399e-06       1.918332294924e-06       1.920857953434e-06 
       1.165158705797e-04       2.032016138050e-06       2.034772031538e-06       2.034774507330e-06       2.034774491533e-06       2.031831907620e-06       2.034665640467e-06 
       1.199181954271e-04       2.152242911869e-06       2.155334969062e-06       2.155337746775e-06       2.155337729051e-06       2.152036219584e-06       2.155215600520e-06 
       1.234198699538e-04       2.279571878796e-06       2.283041110942e-06       2.283044227458e-06       2.283044207571e-06       2.279339986776e-06       2.282907181783e-06 
       1.270237952227e-04       2.414421233232e-06       2.418313647315e-06       2.418317143967e-06       2.418317121653e-06       2.414161070389e-06       2.418163381513e-06 
       1.307329570095e-04       2.557233632070e-06       2.561600836379e-06       2.561604759505e-06       2.561604734469e-06       2.556941753491e-06       2.561432241661e-06 
       1.345504282758e-04       2.708477559702e-06       2.713377477729e-06       2.713381879506e-06       2.713381851415e-06       2.708150100067e-06       2.713188318183e-06 
       1.384793717157e-04       2.868648838293e-06       2.874146490409e-06       2.874151429460e-06       2.874151397941e-06       2.868281460472e-06       2.873934256248e-06 
       1.425230423754e-04       3.038272369720e-06       3.044440615715e-06       3.044446157435e-06       3.044446122071e-06       3.037860211605e-06       3.044202494277e-06 
       1.466847903501e-04       3.217903580128e-06       3.224824132365e-06       3.224830349876e-06       3.224830310197e-06       3.217441189262e-06       3.224556969078e-06 
       1.509680635597e-04       3.408130010847e-06       3.415894688671e-06       3.415901664438e-06       3.415901619917e-06       3.407611266971e-06       3.415594939119e-06 
       1.553764106052e-04       3.609573630011e-06       3.618285386152e-06       3.618293211934e-06       3.618293161980e-06       3.608991671488e-06       3.617949075591e-06 
       1.599134837084e-04       3.822892537582e-06       3.832666812538e-06       3.832675594785e-06       3.832675538736e-06       3.822239659241e-06       3.832289486788e-06 
       1.645830417382e-04       4.048782841843e-06       4.059749243944e-06       4.059759096597e-06       4.059759033709e-06       4.048050414843e-06       4.059325898039e-06 
       1.693889533242e-04       4.287981213253e-06       4.300285046478e-06       4.300296103812e-06       4.300296033250e-06       4.287159542535e-06       4.299810074263e-06 
       1.743352000622e-04       4.541266759266e-06       4.555071117461e-06       4.555083523443e-06       4.555083444272e-06       4.540344988888e-06       4.554538221397e-06 
       1.794258798126e-04       4.809464100811e-06       4.824951642461e-06       4.824965555631e-06       4.824965466799e-06       4.808430071337e-06       4.824353767369e-06 
       1.846652100954e-04       5.093443943549e-06       5.110820439061e-06       5.110836050908e-06       5.110835951237e-06       5.092283955724e-06       5.110149647412e-06 
       1.900575315847e-04       5.394129724844e-06       5.413624841665e-06       5.413642359279e-06       5.413642247447e-06       5.392828469381e-06       5.412872268466e-06 
       1.956073117042e-04       5.712494817811e-06       5.734367570564e-06       5.734387226486e-06       5.734387101008e-06       5.711035085891e-06       5.733523218130e-06 
       2.013191483291e-04       6.049571564596e-06       6.074111384727e-06       6.074133440108e-06       6.074133299319e-06       6.047934088682e-06       6.073164081761e-06 
       2.071977735946e-04       6.406449940945e-06       6.433981652021e-06       6.434006387797e-06       6.434006229830e-06       6.404613145829e-06       6.432918852178e-06 
       2.132480578171e-04       6.784281533586e-06       6.815170135575e-06       6.815197895735e-06       6.815197718493e-06       6.782221123218e-06       6.813977762629e-06 
       2.194750135285e-04       7.184284874276e-06       7.218939506300e-06       7.218970653571e-06       7.218970454702e-06       7.181973682159e-06       7.217601764482e-06 
       2.258837996296e-04       7.607747362152e-06       7.646627040305e-06       7.646661975428e-06       7.646661752294e-06       7.605154939697e-06       7.645126203709e-06 
       2.324797256634e-04       8.056029674749e-06       8.099649125439e-06       8.099688339363e-06       8.099688089002e-06       8.053121767584e-06       8.097965348467e-06 
       2.392682562148e-04       8.530569196521e-06       8.579506050935e-06       8.579550048870e-06       8.579549767960e-06       8.527307522444e-06       8.577617028380e-06 
       2.462550154372e-04       9.032884503531e-06       9.087786795784e-06       9.087836162474e-06       9.087835847288e-06       9.029226086693e-06       9.085667517834e-06 
       2.534457917122e-04       9.564580199127e-06       9.626174521960e-06       9.626229910903e-06       9.626229557259e-06       9.560476874541e-06       9.623796945569e-06 
       2.608465424454e-04       1.012735024447e-05       1.019645183338e-05       1.019651397914e-05       1.019651358234e-05       1.012274800487e-05       1.019378449592e-05 
       2.684633990017e-04       1.072298359225e-05       1.080050686849e-05       1.080057659505e-05       1.080057614984e-05       1.071782189449e-05       1.079751448002e-05 
       2.763026717849e-04       1.135336870864e-05       1.144033941338e-05       1.144041766054e-05       1.144041716101e-05       1.134757964026e-05       1.143698240031e-05 
       2.843708554663e-04       1.202049888159e-05       1.211806766368e-05       1.211815543983e-05       1.211815487934e-05       1.201400644472e-05       1.211430159945e-05 
       2.926746343646e-04       1.272647769665e-05       1.283593503367e-05       1.283603349240e-05       1.283603286352e-05       1.271919665125e-05       1.283171011106e-05 
       3.012208879845e-04       1.347352397607e-05       1.359631744250e-05       1.359642793998e-05       1.359642723437e-05       1.346535860647e-05       1.359157783938e-05 
       3.100166967156e-04       1.426397850792e-05       1.440173170832e-05       1.440185566640e-05       1.440185487469e-05       1.425482182690e-05       1.439641474042e-05 
       3.190693476988e-04       1.510030947642e-05       1.525484314421e-05       1.525498224102e-05       1.525498135271e-05       1.509004136135e-05       1.524887858142e-05 
       3.283863408632e-04       1.598511817280e-05       1.615847475385e-05       1.615863081825e-05       1.615862982155e-05       1.597360416123e-05       1.615178377551e-05 
       3.379753951399e-04       1.692114647915e-05       1.711561639935e-05       1.711579151721e-05       1.711579039889e-05       1.690823582283e-05       1.710811064364e-05 
       3.478444548567e-04       1.791128262141e-05       1.812943470373e-05       1.812963118966e-05       1.812962993488e-05       1.789680649476e-05       1.812101505258e-05 
       3.580016963202e-04       1.895856771846e-05       1.920328329042e-05       1.920350372556e-05       1.920350231768e-05       1.894233702434e-05       1.919383855984e-05 
       3.684555345892e-04       2.006620457977e-05       2.034071414156e-05       2.034096147257e-05       2.034095989290e-05       2.004800736910e-05       2.033011971716e-05 
       3.792146304469e-04       2.123756234067e-05       2.154548898284e-05       2.154576646701e-05       2.154576469459e-05       2.121716134977e-05       2.153360507513e-05 
       3.902878975758e-04       2.247618522178e-05       2.282159167502e-05       2.282190300617e-05       2.282190101749e-05       2.245331461788e-05       2.280826156857e-05 
       4.016845099426e-04       2.378579906213e-05       2.417324132418e-05       2.417359064551e-05       2.417358841417e-05       2.376016115344e-05       2.415828928358e-05 
       4.134139093988e-04       2.517031967162e-05       2.560490632030e-05       2.560529824160e-05       2.560529573800e-05       2.514158124626e-05       2.558813527620e-05 
       4.254858135027e-04       2.663386002978e-05       2.712131879599e-05       2.712175850286e-05       2.712175569377e-05       2.660164801346e-05       2.710250781646e-05 
       4.379102235708e-04       2.818073670003e-05       2.872748987966e-05       2.872798325423e-05       2.872798010238e-05       2.814463328546e-05       2.870639130417e-05 
       4.506974329629e-04       2.981547905046e-05       3.042872692759e-05       3.042928044617e-05       3.042927690973e-05       2.977501695887e-05       3.040506301716e-05 
       4.638580356106e-04       3.154283525406e-05       3.223064988021e-05       3.223127092804e-05       3.223126696010e-05       3.149749123905e-05       3.220410937879e-05 
