# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 285.831 h/Mpc,
# number of wavenumbers equal to 587
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:t_g                    3:t_b                    4:t_cdm                  5:t_dmeff                6:t_ur                   7:t_tot              
       5.204572761313e-03      -8.498006473698e-04       3.794875723986e-03       3.803541489876e-03       3.803541327715e-03      -6.936434255632e-04       3.626539818765e-03 
       5.356549029765e-03      -9.500462546322e-04       4.005051181101e-03       4.014729967499e-03       4.014729805849e-03      -7.638574267421e-04       3.826120326335e-03 
       5.512963085377e-03      -1.045097964451e-03       4.226109183926e-03       4.236917409722e-03       4.236917248567e-03      -8.265203664502e-04       4.036495922409e-03 
       5.673944513874e-03      -1.132279669799e-03       4.458539584856e-03       4.470606774160e-03       4.470606613484e-03      -8.793501749419e-04       4.258244403700e-03 
       5.839626684951e-03      -1.208644162070e-03       4.702848163247e-03       4.716318353923e-03       4.716318193712e-03      -9.199798276306e-04       4.491967463956e-03 
       6.010146862770e-03      -1.271017769167e-03       4.959556760957e-03       4.974590077793e-03       4.974589918031e-03      -9.460328941517e-04       4.738288765730e-03 
       6.185646319679e-03      -1.316067569886e-03       5.229203373167e-03       5.245977766620e-03       5.245977607292e-03      -9.552198666359e-04       4.997851135400e-03 
       6.366270453252e-03      -1.340394869065e-03       5.512342309275e-03       5.531055553423e-03       5.531055394516e-03      -9.454560946592e-04       5.271312970463e-03 
       6.552168906749e-03      -1.340657468418e-03       5.809544556536e-03       5.830416261411e-03       5.830416102910e-03      -9.150006985317e-04       5.559343667553e-03 
       6.743495693093e-03      -1.313724218110e-03       6.121397725307e-03       6.144671784876e-03       6.144671626768e-03      -8.626144902867e-04       5.862617961580e-03 
       6.940409322464e-03      -1.256861547098e-03       6.448506309774e-03       6.474453505741e-03       6.474453348012e-03      -7.877321245297e-04       6.181809400197e-03 
       7.143072933626e-03      -1.167951638689e-03       6.791491955397e-03       6.820412777585e-03       6.820412620221e-03      -6.906413662439e-04       6.517583049425e-03 
       7.351654429076e-03      -1.045738849410e-03       7.150993522677e-03       7.183221451683e-03       7.183221294671e-03      -5.726589505331e-04       6.870587618288e-03 
       7.566326614156e-03      -8.900959037304e-04       7.527667668965e-03       7.563572497053e-03       7.563572340380e-03      -4.362885580699e-04       7.241447575933e-03 
       7.787267340214e-03      -7.023002859050e-04       7.922188531418e-03       7.962180409007e-03       7.962180252660e-03      -2.853431622448e-04       7.630755285180e-03 
       8.014659651953e-03      -4.853014767442e-04       8.335248318363e-03       8.379781816389e-03       8.379781660355e-03      -1.250097446416e-04       8.039064548238e-03 
       8.248691939074e-03      -2.439591457514e-04       8.767556760646e-03       8.817135724188e-03       8.817135568454e-03       3.816773586956e-05       8.466885613002e-03 
       8.489558092359e-03       1.477869367315e-05       9.219841482585e-03       9.275024039974e-03       9.275023884527e-03       1.964132301764e-04       8.914683592922e-03 
       8.737457664304e-03       2.817901893359e-04       9.692847507273e-03       9.754251715833e-03       9.754251560661e-03       3.409760677442e-04       9.382880601820e-03 
       8.992596034440e-03       5.458268386255e-04       1.018733656024e-02       1.025564666526e-02       1.025564651035e-02       4.625416673923e-04       9.871863060379e-03 
       9.255184579492e-03       7.937350774823e-04       1.070408609235e-02       1.078005921538e-02       1.078005906072e-02       5.518073458298e-04       1.038199509287e-02 
       9.525440848495e-03       1.010892157054e-03       1.124388772993e-02       1.132836125191e-02       1.132836109748e-02       6.002207986848e-04       1.091363895350e-02 
       9.803588743031e-03       1.181891242898e-03       1.180754505569e-02       1.190144475957e-02       1.190144460537e-02       6.008590341158e-04       1.146718266616e-02 
       1.008985870272e-02       1.291496614276e-03       1.239587136070e-02       1.250022002896e-02       1.250021987496e-02       5.493991987723e-04       1.204307490722e-02 
       1.038448789616e-02       1.325868500925e-03       1.300968541387e-02       1.312561248258e-02       1.312561232878e-02       4.451017896144e-04       1.264186472809e-02 
       1.068772041737e-02       1.274024929853e-03       1.364980725884e-02       1.377855902611e-02       1.377855887249e-02       2.916930853343e-04       1.326424466247e-02 
       1.099980748807e-02       1.129466835850e-03       1.431705251711e-02       1.446000314371e-02       1.446000299025e-02       9.800210733861e-05       1.391109243345e-02 
       1.132100766576e-02       8.918420277698e-04       1.501222637539e-02       1.517088986911e-02       1.517088971580e-02      -1.218158826514e-04       1.458350693819e-02 
       1.165158705797e-02       5.684665407990e-04       1.573611595587e-02       1.591215884549e-02       1.591215869232e-02      -3.486442542661e-04       1.528283006104e-02 
       1.199181954271e-02       1.754680970833e-04       1.648948205068e-02       1.668473697478e-02       1.668473682172e-02      -5.595123080245e-04       1.601064798627e-02 
       1.234198699538e-02      -2.617288875723e-04       1.727304994920e-02       1.748953012042e-02       1.748952996746e-02      -7.295424189194e-04       1.676876371258e-02 
       1.270237952227e-02      -7.088770263304e-04       1.808750079976e-02       1.832741517896e-02       1.832741502609e-02      -8.347320902730e-04       1.755913538196e-02 
       1.307329570095e-02      -1.124617746690e-03       1.893346229567e-02       1.919923168343e-02       1.919923153062e-02      -8.554170689590e-04       1.838377567455e-02 
       1.345504282758e-02      -1.463632049550e-03       1.981149919211e-02       2.010577306185e-02       2.010577290909e-02      -7.800724874138e-04       1.924461326785e-02 
       1.384793717157e-02      -1.681277463131e-03       2.072210496623e-02       2.104777906477e-02       2.104777891203e-02      -6.089012230893e-04       2.014332528269e-02 
       1.425230423754e-02      -1.739524287508e-03       2.166569571372e-02       2.202593018840e-02       2.202593003566e-02      -3.564716089691e-04       2.108115721267e-02 
       1.466847903502e-02      -1.613693318407e-03       2.264260448558e-02       2.304084265962e-02       2.304084250685e-02      -5.255621233269e-05       2.205875325115e-02 
       1.509680635600e-02      -1.299137837905e-03       2.365307687678e-02       2.409306439752e-02       2.409306424471e-02       2.596398360593e-04       2.307602932278e-02 
       1.553764106060e-02      -8.166617723249e-04       2.469726854622e-02       2.518307270569e-02       2.518307255281e-02       5.284179546251e-04       2.413212530555e-02 
       1.599134837106e-02      -2.152103796361e-04       2.577524495332e-02       2.631127407095e-02       2.631127391797e-02       7.017290789767e-04       2.522547023281e-02 
       1.645830417440e-02       4.296755936628e-04       2.688698133062e-02       2.747800352000e-02       2.747800336688e-02       7.377732845373e-04       2.635398044667e-02 
       1.693889533392e-02       1.022856129987e-03       2.803236049393e-02       2.868352187361e-02       2.868352172032e-02       6.163511234030e-04       2.751538988785e-02 
       1.743352000998e-02       1.462514722461e-03       2.921117143841e-02       2.992801276845e-02       2.992801261495e-02       3.483338202578e-04       2.870768450637e-02 
       1.794258799043e-02       1.658261694368e-03       3.042310709096e-02       3.121157832795e-02       3.121157817422e-02      -1.995992298097e-05       2.992957329650e-02 
       1.846652103129e-02       1.552055785226e-03       3.166775825748e-02       3.253423009781e-02       3.253422994379e-02      -4.105344149627e-04       3.118089263015e-02 
       1.900575320855e-02       1.137842772504e-03       3.294460418308e-02       3.389587577677e-02       3.389587562242e-02      -7.274341892152e-04       3.246282459314e-02 
       1.956073128256e-02       4.744289056457e-04       3.425300521755e-02       3.529630667886e-02       3.529630652413e-02      -8.797089586333e-04       3.377782189249e-02 
       2.013191507720e-02      -3.142609887911e-04       3.559219735373e-02       3.673518594323e-02       3.673518578806e-02      -8.094535158001e-04       3.512917225245e-02 
       2.071977787765e-02      -1.056062175612e-03       3.696128816009e-02       3.821203687986e-02       3.821203672421e-02      -5.171509217807e-04       3.652021977688e-02 
       2.132480685269e-02      -1.565608022699e-03       3.835926013716e-02       3.972623728158e-02       3.972623712537e-02      -7.427304416658e-05       3.795338028405e-02 
       2.194750351098e-02      -1.692990220046e-03       3.978498913888e-02       4.127702725851e-02       4.127702710169e-02       3.861155975976e-04       3.942920163308e-02 
       2.258838420597e-02      -1.374902971544e-03       4.123727309037e-02       4.286352603167e-02       4.286352587415e-02       7.047839158054e-04       4.094577611291e-02 
       2.324798071086e-02      -6.716027737011e-04       4.271487060738e-02       4.448475682136e-02       4.448475666307e-02       7.521956430566e-04       4.249879190596e-02 
       2.392684089489e-02       2.284978190009e-04       4.421655334617e-02       4.613968354110e-02       4.613968338195e-02       4.875386405640e-04       4.408237013175e-02 
       2.462552954438e-02       1.049378972654e-03       4.574116954313e-02       4.782725667699e-02       4.782725651689e-02      -5.076889510554e-06       4.569057338521e-02 
       2.534462938703e-02       1.512246435188e-03       4.728770729913e-02       4.954645626120e-02       4.954645610004e-02      -5.286090139403e-04       4.731916759126e-02 
