# Matter power spectrum P(k) at redshift z=99
# for k=1.00899e-05 to 1430.41 h/Mpc,
# number of wavenumbers equal to 1499
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.836052454460e-05       1.528615319645e-02 
       1.857312939875e-05       1.545603845906e-02 
       1.878819610109e-05       1.562781146604e-02 
       1.900575315847e-05       1.580149426268e-02 
       1.922582940784e-05       1.597710677018e-02 
       1.944845402008e-05       1.615467099027e-02 
       1.967365650383e-05       1.633420851509e-02 
       1.990146670944e-05       1.651574137280e-02 
       2.013191483291e-05       1.669929174252e-02 
       2.036503141988e-05       1.688488203822e-02 
       2.060084736971e-05       1.707253488155e-02 
       2.083939393954e-05       1.726227324169e-02 
       2.108070274847e-05       1.745412026192e-02 
       2.132480578171e-05       1.764809933906e-02 
       2.157173539486e-05       1.784423426624e-02 
       2.182152431817e-05       1.804254869097e-02 
       2.207420566089e-05       1.824306731730e-02 
       2.232981291567e-05       1.844581439840e-02 
       2.258837996296e-05       1.865081476445e-02 
       2.284994107554e-05       1.885809336475e-02 
       2.311453092307e-05       1.906767556820e-02 
       2.338218457663e-05       1.927958751338e-02 
       2.365293751343e-05       1.949385410018e-02 
       2.392682562148e-05       1.971050184205e-02 
       2.420388520435e-05       1.992955728905e-02 
       2.448415298599e-05       2.015104721078e-02 
       2.476766611558e-05       2.037499866402e-02 
       2.505446217249e-05       2.060143901515e-02 
       2.534457917122e-05       2.083039592329e-02 
       2.563805556647e-05       2.106189732016e-02 
       2.593493025822e-05       2.129597057129e-02 
       2.623524259688e-05       2.153264609220e-02 
       2.653903238852e-05       2.177195153451e-02 
       2.684633990017e-05       2.201391681932e-02 
       2.715720586509e-05       2.225857117048e-02 
       2.747167148823e-05       2.250594447105e-02 
       2.778977845167e-05       2.275606693622e-02 
       2.811156892014e-05       2.300896911703e-02 
       2.843708554663e-05       2.326468190397e-02 
       2.876637147800e-05       2.352323653218e-02 
       2.909947036075e-05       2.378466457819e-02 
       2.943642634678e-05       2.404899797768e-02 
       2.977728409924e-05       2.431626901524e-02 
       3.012208879845e-05       2.458651033597e-02 
       3.047088614791e-05       2.485975494773e-02 
       3.082372238031e-05       2.513603622624e-02 
       3.118064426374e-05       2.541538791445e-02 
       3.154169910778e-05       2.569784413385e-02 
       3.190693476988e-05       2.598343938357e-02 
       3.227639966162e-05       2.627220854612e-02 
       3.265014275518e-05       2.656418689171e-02 
       3.302821358979e-05       2.685941007136e-02 
       3.341066227834e-05       2.715791416210e-02 
       3.379753951399e-05       2.745973562147e-02 
       3.418889657688e-05       2.776491129938e-02 
       3.458478534099e-05       2.807347847613e-02 
       3.498525828094e-05       2.838547484786e-02 
       3.539036847897e-05       2.870093852651e-02 
       3.580016963202e-05       2.901990795134e-02 
       3.621471605877e-05       2.934242223291e-02 
       3.663406270690e-05       2.966852066293e-02 
       3.705826516037e-05       2.999824308962e-02 
       3.748737964675e-05       3.033162981757e-02 
       3.792146304469e-05       3.066872147264e-02 
       3.836057289149e-05       3.100955928933e-02 
       3.880476739067e-05       3.135418497589e-02 
       3.925410541973e-05       3.170264059877e-02 
       3.970864653795e-05       3.205496885790e-02 
       4.016845099426e-05       3.241121222479e-02 
       4.063357973524e-05       3.277141457870e-02 
       4.110409441320e-05       3.313561906769e-02 
       4.158005739435e-05       3.350387182015e-02 
       4.206153176708e-05       3.387621779795e-02 
       4.254858135027e-05       3.425270086154e-02 
       4.304127070184e-05       3.463336775694e-02 
       4.353966512722e-05       3.501826499275e-02 
       4.404383068805e-05       3.540743961634e-02 
       4.455383421094e-05       3.580093916773e-02 
       4.506974329629e-05       3.619881158594e-02 
       4.559162632729e-05       3.660110559884e-02 
       4.611955247898e-05       3.700787026332e-02 
       4.665359172740e-05       3.741915520417e-02 
       4.719381485887e-05       3.783501163384e-02 
       4.774029347938e-05       3.825548854894e-02 
       4.829310002407e-05       3.868063700780e-02 
       4.885230776687e-05       3.911051068363e-02 
       4.941799083015e-05       3.954516210078e-02 
       4.999022419458e-05       3.998464372637e-02 
       5.056908370909e-05       4.042900947984e-02 
       5.115464610086e-05       4.087831265008e-02 
       5.174698898557e-05       4.133260978457e-02 
