#             k/h            CDM         baryon         photon             nu        mass_nu          total          no_nu       total_de           Weyl          v_CDM            v_b        v_b-v_c
   8.967785e-04    2.436041e+05    2.435383e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.456296e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.424555e+05    2.424383e+05    0.000000e+00
   1.006202e-03    2.434709e+05    2.433881e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.454079e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423172e+05    2.422959e+05    0.000000e+00
   1.128977e-03    2.433036e+05    2.431995e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.451303e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.421432e+05    2.421168e+05    0.000000e+00
   1.266733e-03    2.430942e+05    2.429631e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.447840e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.419277e+05    2.418939e+05    0.000000e+00
   1.421298e-03    2.428333e+05    2.426680e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.443537e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.416662e+05    2.416239e+05    0.000000e+00
   1.594723e-03    2.425067e+05    2.422984e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.438179e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413383e+05    2.412855e+05    0.000000e+00
   1.789308e-03    2.420983e+05    2.418360e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.431525e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.409273e+05    2.408614e+05    0.000000e+00
   2.007637e-03    2.415882e+05    2.412582e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423290e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.404130e+05    2.403301e+05    0.000000e+00
   2.252606e-03    2.409525e+05    2.405376e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413140e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.397713e+05    2.396681e+05    0.000000e+00
   2.527465e-03    2.401624e+05    2.396408e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.400699e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.389719e+05    2.388433e+05    0.000000e+00
   2.835863e-03    2.391835e+05    2.385280e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.385548e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.379782e+05    2.378174e+05    0.000000e+00
   3.181890e-03    2.379753e+05    2.371522e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.367246e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.367476e+05    2.365475e+05    0.000000e+00
   3.570140e-03    2.364917e+05    2.354586e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.345352e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.352292e+05    2.349793e+05    0.000000e+00
   4.005763e-03    2.346807e+05    2.333851e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.319466e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.333657e+05    2.330547e+05    0.000000e+00
   4.494540e-03    2.324860e+05    2.308628e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.289274e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.310933e+05    2.307070e+05    0.000000e+00
   5.042956e-03    2.298491e+05    2.278180e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.254602e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.283437e+05    2.278648e+05    0.000000e+00
