# Matter power spectrum P(k) at redshift z=0
# for k=1.00899e-05 to 285.831 h/Mpc,
# number of wavenumbers equal to 587
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       6.366270455252e-03       2.050378209488e+04 
       6.552168908807e-03       2.085143237060e+04 
       6.743495695211e-03       2.119787656055e+04 
       6.940409324645e-03       2.154261126253e+04 
       7.143072935870e-03       2.188523738884e+04 
       7.351654431385e-03       2.222518379527e+04 
       7.566326616533e-03       2.256198248613e+04 
       7.787267342661e-03       2.289502608500e+04 
       8.014659654471e-03       2.322375408564e+04 
       8.248691941665e-03       2.354755938067e+04 
       8.489558095026e-03       2.386587179860e+04 
       8.737457667049e-03       2.417788512618e+04 
       8.992596037266e-03       2.448316813470e+04 
       9.255184582400e-03       2.478077643689e+04 
       9.525440851488e-03       2.507016488251e+04 
       9.803588746111e-03       2.535051557483e+04 
       1.008985870589e-02       2.562105662948e+04 
       1.038448789942e-02       2.588101000783e+04 
       1.068772042073e-02       2.612952912055e+04 
       1.099980749152e-02       2.636580111454e+04 
       1.132100766931e-02       2.658896309621e+04 
       1.165158706163e-02       2.679820580149e+04 
       1.199181954648e-02       2.699251413591e+04 
       1.234198699926e-02       2.717096221777e+04 
       1.270237952626e-02       2.733281820152e+04 
       1.307329570505e-02       2.747706708317e+04 
       1.345504283181e-02       2.760278393818e+04 
       1.384793717592e-02       2.770908156684e+04 
       1.425230424202e-02       2.779502642276e+04 
       1.466847903963e-02       2.785979412379e+04 
       1.509680636074e-02       2.790236243518e+04 
       1.553764106548e-02       2.792187058258e+04 
       1.599134837608e-02       2.791767399234e+04 
       1.645830417957e-02       2.788889653432e+04 
       1.693889533924e-02       2.783488383859e+04 
       1.743352001546e-02       2.775490173901e+04 
       1.794258799607e-02       2.764840073387e+04 
       1.846652103709e-02       2.751488977492e+04 
       1.900575321452e-02       2.735395213957e+04 
       1.956073128870e-02       2.716529399801e+04 
       2.013191508353e-02       2.694875410514e+04 
       2.071977788416e-02       2.670436815277e+04 
       2.132480685939e-02       2.643211161850e+04 
       2.194750351787e-02       2.613238394876e+04 
       2.258838421306e-02       2.580557895108e+04 
       2.324798071816e-02       2.545250095401e+04 
       2.392684090240e-02       2.507387105087e+04 
       2.462552955212e-02       2.467061951811e+04 
       2.534462939499e-02       2.424421786946e+04 
       2.608474240342e-02       2.379602544289e+04 
       2.684649147135e-02       2.332793573696e+04 
       2.763052257754e-02       2.284157940247e+04 
       2.843750756313e-02       2.233931487775e+04 
       2.926814766066e-02       2.182331859743e+04 
       3.012317791048e-02       2.129623448369e+04 
       3.100337258439e-02       2.076056717869e+04 
       3.190955170259e-02       2.021930556287e+04 
       3.284258867309e-02       1.967522776018e+04 
       3.380341900404e-02       1.913130006969e+04 
       3.479304993695e-02       1.859057170347e+04 
       3.581257073019e-02       1.805602458153e+04 
       3.686316319320e-02       1.753055825556e+04 
       3.794611194825e-02       1.701693845618e+04 
       3.906281379287e-02       1.651793611867e+04 
       4.021478547217e-02       1.603597497267e+04 
       4.140366916454e-02       1.557322372616e+04 
       4.263123505067e-02       1.513159524086e+04 
       4.389938048166e-02       1.471255999606e+04 
       4.521012548301e-02       1.431726409634e+04 
       4.656560461099e-02       1.394620116615e+04 
       4.796805548637e-02       1.359939727187e+04 
       4.941980463150e-02       1.327608388230e+04 
       5.092325148804e-02       1.297483930984e+04 
       5.248085165900e-02       1.269344226199e+04 
       5.409510047684e-02       1.242872925804e+04 
       5.576851794029e-02       1.217665567504e+04 
       5.750363590034e-02       1.193223132969e+04 
       5.930298813551e-02       1.168979772929e+04 
       6.116910367850e-02       1.144284241756e+04 
       6.310450347687e-02       1.118477633362e+04 
       6.511170022679e-02       1.090886131850e+04 
       6.719320103232e-02       1.060904160817e+04 
       6.935151242450e-02       1.028049936764e+04 
       7.158914722410e-02       9.919808799128e+03 
       7.390863273767e-02       9.526437603542e+03 
       7.631251982442e-02       9.102475602655e+03 
       7.880339244491e-02       8.653141602085e+03 
       8.138387738640e-02       8.186515923938e+03 
       8.405665394311e-02       7.713523422454e+03 
       8.682446340420e-02       7.246460124902e+03 
       8.969011826444e-02       6.798630604555e+03 
       9.265651112018e-02       6.382106691249e+03 
       9.572662324704e-02       6.007457675598e+03 
       9.890353287826e-02       5.681475745329e+03 
       1.021904232141e-01       5.407183496569e+03 
       1.055905901978e-01       5.182642805205e+03 
       1.091074500934e-01       5.001146257195e+03 
       1.127445468941e-01       4.851057136054e+03 
       1.165055595874e-01       4.717751235859e+03 
       1.203943092911e-01       4.583784879116e+03 
       1.244147662697e-01       4.433027561968e+03 
       1.285710568303e-01       4.253304836859e+03 
       1.328674700911e-01       4.039508886482e+03 
       1.373084646056e-01       3.795378397829e+03 
       1.418986748210e-01       3.533124523457e+03 
       1.466429173391e-01       3.270524749906e+03 
       1.515461969428e-01       3.026608707827e+03 
       1.566137123413e-01       2.816794520791e+03 
       1.618508615817e-01       2.649068537279e+03 
       1.672632470626e-01       2.522098300444e+03 
       1.728566800795e-01       2.425241653192e+03 
       1.786371848180e-01       2.342522627554e+03 
       1.846110017042e-01       2.254939611094e+03 
       1.907845900045e-01       2.147397332772e+03 
       1.971646295613e-01       2.016388606475e+03 
       2.037580215324e-01       1.871034360857e+03 
       2.105718879931e-01       1.727429973305e+03 
       2.176135702436e-01       1.600720783189e+03 
       2.248906256537e-01       1.499584659782e+03 
       2.324108228622e-01       1.422974081305e+03 
       2.401821351383e-01       1.360049289869e+03 
       2.482127317005e-01       1.296280965137e+03 
       2.565109667824e-01       1.222266421195e+03 
       2.650853662287e-01       1.138238906579e+03 
       2.739446114046e-01       1.053501723952e+03 
       2.830975202080e-01       9.793796446969e+02 
       2.925530249865e-01       9.199544158497e+02 
       3.023201471855e-01       8.706370841099e+02 
       3.124079685928e-01       8.228993607822e+02 
       3.228255990988e-01       7.709876747127e+02 
       3.335821409741e-01       7.169732247554e+02 
       3.446866497744e-01       6.667730610870e+02 
       3.561480921288e-01       6.241618888512e+02 
       3.679753008612e-01       5.869971017077e+02 
       3.801769281432e-01       5.508285236603e+02 
       3.927613976821e-01       5.140632576109e+02 
       4.057368573325e-01       4.787998526700e+02 
       4.191111339651e-01       4.471702726435e+02 
       4.328916929461e-01       4.188784195649e+02 
       4.470856051459e-01       3.919461760073e+02 
       4.616995249803e-01       3.656876714820e+02 
       4.767396835364e-01       3.410919631157e+02 
       4.922119012726e-01       3.188399457115e+02 
       5.081216249989e-01       2.981220436904e+02 
       5.244739937188e-01       2.783222183045e+02 
       5.412739373025e-01       2.598182895382e+02 
       5.585263107358e-01       2.427788224974e+02 
       5.762360647597e-01       2.268741387618e+02 
       5.944084510740e-01       2.119032602497e+02 
       6.130492570340e-01       1.979745986753e+02 
       6.321650611971e-01       1.850462735351e+02 
       6.517634975818e-01       1.729486565760e+02 
       6.718535136352e-01       1.616481041464e+02 
       6.924456052337e-01       1.511328670638e+02 
       7.135520120448e-01       1.413187526838e+02 
       7.351868585410e-01       1.321522893562e+02 
       7.573662298202e-01       1.236001438660e+02 
       7.801081767683e-01       1.156110987375e+02 
       8.034326513059e-01       1.081432399329e+02 
       8.273613786321e-01       1.011651350751e+02 
       8.519176786735e-01       9.463898743472e+01 
       8.771262526799e-01       8.853427024782e+01 
       9.030129527154e-01       8.282208070467e+01 
       9.296045516056e-01       7.747578134493e+01 
       9.569285289892e-01       7.246974739820e+01 
       9.850128859237e-01       6.778203376881e+01 
       1.013885996583e+00       6.339144891914e+01 
       1.043576501494e+00       5.927886140133e+01 
       1.074113242974e+00       5.542548903301e+01 
       1.105525240241e+00       5.181515025696e+01 
       1.137841699344e+00       4.843435786189e+01 
       1.171092051561e+00       4.526770847110e+01 
       1.205306013260e+00       4.230114199804e+01 
       1.240513660317e+00       3.952389852909e+01 
       1.276745510754e+00       3.692221418424e+01 
       1.314032610269e+00       3.448721418116e+01 
       1.352406616515e+00       3.220723715549e+01 
       1.391899879178e+00       3.007424299436e+01 
       1.432545514106e+00       2.807776302573e+01 
       1.474377470670e+00       2.620975632155e+01 
       1.517430592368e+00       2.446253066647e+01 
       1.561740671202e+00       2.282826067620e+01 
       1.607344496717e+00       2.130008719223e+01 
       1.654279900744e+00       1.987129514936e+01 
       1.702585798905e+00       1.853564495378e+01 
       1.752302229880e+00       1.728720277539e+01 
       1.803470393277e+00       1.612057823781e+01 
       1.856132686815e+00       1.503053814613e+01 
       1.910332743368e+00       1.401211391486e+01 
       1.966115468279e+00       1.306085231998e+01 
       2.023527077257e+00       1.217253749051e+01 
       2.082615135053e+00       1.134297623401e+01 
       2.143428595091e+00       1.056850591926e+01 
       2.206017840135e+00       9.845473680555e+00 
       2.270434724093e+00       9.170647372255e+00 
       2.336732615008e+00       8.540802139472e+00 
       2.404966439282e+00       7.953125805761e+00 
       2.475192727195e+00       7.404796324905e+00 
       2.547469659738e+00       6.893304659414e+00 
       2.621857116814e+00       6.416217194770e+00 
       2.698416726854e+00       5.971198337891e+00 
       2.777211917868e+00       5.556279040648e+00 
       2.858307970001e+00       5.169392752625e+00 
       2.941772069609e+00       4.808674930154e+00 
       3.027673364927e+00       4.472442917475e+00 
       3.116083023355e+00       4.159022584498e+00 
       3.207074290419e+00       3.866949635551e+00 
       3.300722550451e+00       3.594752021827e+00 
       3.397105389047e+00       3.341142880765e+00 
       3.496302657342e+00       3.104825697079e+00 
       3.598396538168e+00       2.884706576590e+00 
       3.703471614137e+00       2.679653860483e+00 
       3.811614937719e+00       2.488682120766e+00 
       3.922916103363e+00       2.310798218045e+00 
       4.037467321720e+00       2.145174909867e+00 
       4.155363496045e+00       1.990941256029e+00 
       4.276702300814e+00       1.847336449293e+00 
       4.401584262651e+00       1.713638388858e+00 
       4.530112843611e+00       1.589172435746e+00 
       4.662394526895e+00       1.473322083963e+00 
       4.798538905069e+00       1.365489030210e+00 
       4.938658770860e+00       1.265125024045e+00 
       5.082870210602e+00       1.171721010644e+00 
       5.231292700413e+00       1.084794773532e+00 
       5.384049205173e+00       1.003920139989e+00 
       5.541266280405e+00       9.286579980089e-01 
       5.703074177117e+00       8.586373089431e-01 
       5.869606949718e+00       7.935056911796e-01 
       6.041002567074e+00       7.329111608235e-01 
       6.217403026815e+00       6.765432166518e-01 
       6.398954472979e+00       6.241179098774e-01 
       6.585807317083e+00       5.753664002534e-01 
       6.778116362742e+00       5.300295642500e-01 
       6.976040933920e+00       4.878774855539e-01 
       7.179745006920e+00       4.486813616654e-01 
       7.389397346244e+00       4.122545725810e-01 
       7.605171644403e+00       3.783974055556e-01 
       7.827246665824e+00       3.469360422793e-01 
       8.055806394947e+00       3.177096577051e-01 
       8.291040188655e+00       2.905652811854e-01 
       8.533142933154e+00       2.653672752564e-01 
       8.782315205428e+00       2.419718235703e-01 
       9.038763439414e+00       2.202699776687e-01 
       9.302700097031e+00       2.001471454106e-01 
       9.574343844196e+00       1.814939557080e-01 
       9.853919731987e+00       1.642201792523e-01 
       1.014165938309e+01       1.482347200568e-01 
       1.043780118371e+01       1.334511498351e-01 
       1.074259048102e+01       1.197953822014e-01 
       1.105627978650e+01       1.071965697883e-01 
       1.137912898507e+01       9.558792311895e-02 
       1.171140555045e+01       8.490766586073e-02 
       1.205338476671e+01       7.509983715189e-02 
       1.240534995638e+01       6.611145075270e-02 
       1.276759271514e+01       5.789292229765e-02 
       1.314041315342e+01       5.039959750492e-02 
       1.352412014505e+01       4.358883738565e-02 
       1.391903158313e+01       3.742020423392e-02 
       1.432547464339e+01       3.185680705329e-02 
       1.474378605529e+01       2.686332866770e-02 
       1.517431238095e+01       2.240561539500e-02 
       1.561741030228e+01       1.845342059567e-02 
       1.607344691652e+01       1.497373017391e-02 
       1.654280004032e+01       1.193965902862e-02 
       1.702585852277e+01       9.321917535051e-03 
       1.752302256757e+01       7.091211643989e-03 
       1.803470406458e+01       5.222099981703e-03 
       1.856132693106e+01       3.686912567826e-03 
       1.910332746288e+01       2.460008404570e-03 
       1.966115469596e+01       1.512934992849e-03 
       2.023527077833e+01       8.206324907892e-04 
       2.082615135298e+01       3.553604177462e-04 
       2.143428595192e+01       9.077375790399e-05 
       2.206017840175e+01       4.913056909482e-07 
       2.270434724109e+01       5.799202993850e-05 
       2.336732615013e+01       2.374433829832e-04 
       2.404966439284e+01       5.128840180390e-04 
       2.475192727196e+01       8.596899211486e-04 
       2.547469659738e+01       1.252269687943e-03 
       2.621857116814e+01       1.670174941456e-03 
       2.698416726854e+01       2.093314994846e-03 
       2.777211917868e+01       2.492171777723e-03 
       2.858307970001e+01       2.859388789226e-03 
       2.941772069609e+01       3.177016424890e-03 
       3.027673364927e+01       3.435841027972e-03 
       3.116083023355e+01       3.618955101092e-03 
       3.207074290419e+01       3.726147103745e-03 
       3.300722550451e+01       3.754438700255e-03 
       3.397105389047e+01       3.697476306005e-03 
       3.496302657342e+01       3.577659175793e-03 
       3.598396538168e+01       3.381849503874e-03 
       3.703471614137e+01       3.136588159064e-03 
       3.811614937719e+01       2.832700836915e-03 
       3.922916103363e+01       2.487869261043e-03 
       4.037467321720e+01       2.143993673215e-03 
       4.155363496045e+01       1.779882550452e-03 
       4.276702300814e+01       1.426801216269e-03 
       4.401584262651e+01       1.100703043266e-03 
       4.530112843611e+01       7.986524679586e-04 
       4.662394526895e+01       5.468210433364e-04 
       4.798538905069e+01       3.456716651618e-04 
       4.938658770860e+01       1.869625123460e-04 
       5.082870210602e+01       7.792340986223e-05 
       5.231292700413e+01       2.035666112997e-05 
       5.384049205173e+01       1.165573758563e-07 
       5.541266280405e+01       1.241809985704e-05 
       5.703074177117e+01       4.715304056301e-05 
       5.869606949718e+01       9.527386643479e-05 
       6.041002567074e+01       1.456601531869e-04 
       6.217403026815e+01       1.785476872850e-04 
       6.398954472979e+01       2.271003346911e-04 
       6.585807317083e+01       2.552840306213e-04 
       6.778116362743e+01       2.471886290644e-04 
       6.976040933920e+01       2.371049114466e-04 
       7.179745006920e+01       2.115947994609e-04 
       7.389397346244e+01       1.775071379842e-04 
       7.605171644403e+01       1.345817418004e-04 
       7.827246665824e+01       9.675355561000e-05 
       8.055806394947e+01       5.521431165338e-05 
       8.291040188655e+01       3.451933768700e-05 
       8.533142933154e+01       1.288917947464e-05 
       8.782315205428e+01       2.854517746483e-06 
       9.038763439414e+01       3.224630955283e-08 
       9.302700097031e+01       2.884160709594e-06 
       9.574343844196e+01       7.608620826321e-06 
       9.853919731987e+01       1.482910658631e-05 
       1.014165938309e+02       1.897396103489e-05 
       1.043780118371e+02       1.993200578297e-05 
       1.074259048102e+02       2.011534959764e-05 
       1.105627978650e+02       1.588919022747e-05 
       1.137912898507e+02       1.152837392845e-05 
       1.171140555045e+02       7.468395397032e-06 
       1.205338476671e+02       3.056507984864e-06 
       1.240534995638e+02       1.134716663489e-06 
       1.276759271514e+02       7.019280914675e-08 
       1.314041315342e+02       6.043022309133e-08 
       1.352412014505e+02       1.987120918639e-06 
       1.391903158313e+02       1.794000350989e-06 
       1.432547464339e+02       1.606330347864e-06 
       1.474378605529e+02       1.924495014388e-06 
       1.517431238095e+02       1.304521826171e-06 
       1.561741030228e+02       1.139016330532e-06 
       1.607344691652e+02       3.610240624007e-07 
       1.654280004032e+02       1.129192340325e-07 
       1.702585852277e+02       1.579687082961e-09 
       1.752302256757e+02       2.208641235664e-07 
       1.803470406458e+02       1.441908469872e-07 
       1.856132693106e+02       1.896429486196e-07 
       1.910332746288e+02       2.060543680130e-07 
       1.966115469596e+02       6.963988627822e-07 
       2.023527077834e+02       1.191448061252e-07 
       2.082615135298e+02       4.519931800276e-09 
       2.143428595192e+02       3.713845370152e-08 
       2.206017840175e+02       1.472827207863e-08 
       2.270434724109e+02       5.254411626459e-07 
       2.336732615013e+02       5.734178834428e-07 
       2.404966439284e+02       1.335324561492e-11 
       2.475192727196e+02       4.133151835568e-07 
       2.547469659738e+02       4.734794114579e-08 
       2.621857116814e+02       7.650618756106e-11 
       2.698416726854e+02       2.026655196555e-11 
       2.777211917868e+02       1.751030051117e-08 
       2.858307970001e+02       1.607291254483e-08 
