# Matter power spectrum P(k) at redshift z=0
# for k=1.00899e-05 to 285.831 h/Mpc,
# number of wavenumbers equal to 587
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.116083023355e+00       4.105588080667e+00 
       3.207074290419e+00       3.813005135472e+00 
       3.300722550451e+00       3.540340562893e+00 
       3.397105389047e+00       3.286240729604e+00 
       3.496302657342e+00       3.049506097720e+00 
       3.598396538168e+00       2.828941858046e+00 
       3.703471614137e+00       2.623487375031e+00 
       3.811614937719e+00       2.432111599559e+00 
       3.922916103363e+00       2.253870949344e+00 
       4.037467321720e+00       2.087886100431e+00 
       4.155363496045e+00       1.933345159620e+00 
       4.276702300814e+00       1.789445460520e+00 
       4.401584262651e+00       1.655500367106e+00 
       4.530112843611e+00       1.530807420175e+00 
       4.662394526895e+00       1.414758577217e+00 
       4.798538905069e+00       1.306774322471e+00 
       4.938658770860e+00       1.206285594264e+00 
       5.082870210602e+00       1.112814680267e+00 
       5.231292700413e+00       1.025848205085e+00 
       5.384049205173e+00       9.449912571471e-01 
       5.541266280405e+00       8.697866370412e-01 
       5.703074177117e+00       7.998840414631e-01 
       5.869606949718e+00       7.348977776513e-01 
       6.041002567074e+00       6.745209220940e-01 
       6.217403026815e+00       6.184337071358e-01 
       6.398954472979e+00       5.663443458601e-01 
       6.585807317083e+00       5.179815798134e-01 
       6.778116362742e+00       4.731146178092e-01 
       6.976040933920e+00       4.314889142727e-01 
       7.179745006920e+00       3.928896470286e-01 
       7.389397346244e+00       3.571326763131e-01 
       7.605171644403e+00       3.240154428951e-01 
       7.827246665824e+00       2.933725887993e-01 
       8.055806394947e+00       2.650398733711e-01 
       8.291040188655e+00       2.388684385642e-01 
       8.533142933154e+00       2.147182338483e-01 
       8.782315205428e+00       1.924585866781e-01 
       9.038763439414e+00       1.719688057635e-01 
       9.302700097031e+00       1.531387723460e-01 
       9.574343844196e+00       1.358578319596e-01 
       9.853919731987e+00       1.200357717073e-01 
       1.014165938309e+01       1.055791878646e-01 
       1.043780118371e+01       9.239702614538e-02 
       1.074259048102e+01       8.041621687407e-02 
       1.105627978650e+01       6.956180868098e-02 
       1.137912898507e+01       5.975760331934e-02 
       1.171140555045e+01       5.094066006757e-02 
       1.205338476671e+01       4.304916725506e-02 
       1.240534995638e+01       3.602180104042e-02 
       1.276759271514e+01       2.980400736947e-02 
       1.314041315342e+01       2.433711259778e-02 
       1.352412014505e+01       1.957216354890e-02 
       1.391903158313e+01       1.545781621990e-02 
       1.432547464339e+01       1.194572818042e-02 
       1.474378605529e+01       8.987616219534e-03 
       1.517431238095e+01       6.539285387635e-03 
       1.561741030228e+01       4.554413737830e-03 
       1.607344691652e+01       2.989868244935e-03 
       1.654280004032e+01       1.802389360391e-03 
       1.702585852277e+01       9.499962822226e-04 
       1.752302256757e+01       3.920188199299e-04 
       1.803470406458e+01       8.828652365457e-05 
       1.856132693106e+01       1.427727862441e-07 
       1.910332746288e+01       9.004576146048e-05 
       1.966115469596e+01       3.219723223003e-04 
       2.023527077833e+01       6.613489848901e-04 
       2.082615135298e+01       1.076510661478e-03 
       2.143428595192e+01       1.536652184753e-03 
       2.206017840175e+01       2.014474842631e-03 
       2.270434724109e+01       2.484883958023e-03 
       2.336732615013e+01       2.925471050479e-03 
       2.404966439284e+01       3.319538019030e-03 
       2.475192727196e+01       3.650150246101e-03 
       2.547469659738e+01       3.906521286551e-03 
       2.621857116814e+01       4.080162728403e-03 
       2.698416726854e+01       4.168100862226e-03 
       2.777211917868e+01       4.169701224064e-03 
       2.858307970001e+01       4.087061254174e-03 
       2.941772069609e+01       3.926131084758e-03 
       3.027673364927e+01       3.697372205852e-03 
       3.116083023355e+01       3.410563476765e-03 
       3.207074290419e+01       3.079233937358e-03 
       3.300722550451e+01       2.717017798159e-03 
       3.397105389047e+01       2.338691467266e-03 
       3.496302657342e+01       1.958590814618e-03 
       3.598396538168e+01       1.590135980350e-03 
       3.703471614137e+01       1.245437334665e-03 
