# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_dmeff          13:T_dmeff               14:Vrel_dmeff            15:dkappa_dmeff          16:dkappaT_dmeff         17:cdmeff2               18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_tot            22:(.)p_tot              23:(.)p_tot_prime        24:gr.fac. D             25:gr.fac. f          
       7.249144581066e+08       1.438533517551e-15       6.394564807124e-04       1.133642900748e+12       1.415848731029e+04       1.953125245665e-05       1.026369217030e+13       3.691902824185e-04       7.598469436350e+23       9.761415943278e+17       4.238565324915e+04       4.963783852007e+18       1.975753362597e+09       0.000000000000e+00       2.061803614573e+08       1.063439432431e+08       2.798725477461e-04       3.892252110638e-08       5.252933428567e+23       1.285146226417e+24       1.285146226417e+24       4.283800954972e+23      -2.679654394980e+27       1.384274470175e-04       8.107832243242e-02 
       7.171640958837e+08       1.469793841876e-15       6.463670524681e-04       1.109532014831e+12       1.415848730338e+04       1.974232587060e-05       1.015395876017e+13       3.731801006314e-04       7.278690114414e+23       9.451661307367e+17       4.104064831683e+04       4.806270324384e+18       1.954629760958e+09       0.000000000000e+00       1.985676595957e+08       1.024174551480e+08       2.769821755401e-04       3.892252110638e-08       5.031865290564e+23       1.231061291934e+24       1.231061291934e+24       4.103518468326e+23      -2.539438398459e+27       1.385480878754e-04       8.100779629013e-02 
       7.094965960094e+08       1.501733474582e-15       6.533523046528e-04       1.085933931623e+12       1.415848729639e+04       1.995568034585e-05       1.004539855559e+13       3.772130365205e-04       6.972368609950e+23       9.151735976448e+17       3.973832382305e+04       4.653755102917e+18       1.933732000533e+09       0.000000000000e+00       1.912360379938e+08       9.863594295162e+07       2.741189298339e-04       3.892252110638e-08       4.820100739273e+23       1.179252503851e+24       1.179252503851e+24       3.930823116408e+23      -2.406559365786e+27       1.386687288424e-04       8.093739365157e-02 
       7.019110725678e+08       1.534367178074e-15       6.604130485357e-04       1.062837744572e+12       1.415848728933e+04       2.017134053373e-05       9.937999013351e+12       3.812895560565e-04       6.678938554719e+23       8.861328041593e+17       3.847732540857e+04       4.506079578597e+18       1.913057666745e+09       0.000000000000e+00       1.841751184548e+08       9.499405377560e+07       2.712826156167e-04       3.892252110638e-08       4.617248236018e+23       1.129624071286e+24       1.129624071286e+24       3.765395596912e+23      -2.280633381833e+27       1.387893699199e-04       8.086711420465e-02 
       6.944066491148e+08       1.567710032164e-15       6.675500953861e-04       1.040232779087e+12       1.415848728219e+04       2.038933135196e-05       9.831747724321e+12       3.854101302320e-04       6.397857415922e+23       8.580135491540e+17       3.725634169145e+04       4.363090175485e+18       1.892604370906e+09       0.000000000000e+00       1.773749059760e+08       9.148663238598e+07       2.684732854643e-04       3.892252110638e-08       4.422932719914e+23       1.082084234687e+24       1.082084234687e+24       3.606930045279e+23      -2.161296620275e+27       1.389100111092e-04       8.079695763509e-02 
       6.869824585765e+08       1.601777451273e-15       6.747642728442e-04       1.018108587614e+12       1.415848727498e+04       2.060967798757e-05       9.726632412048e+12       3.895752351572e-04       6.128605493092e+23       8.307865898615e+17       3.607410290323e+04       4.224638190998e+18       1.872369749725e+09       0.000000000000e+00       1.708257745858e+08       8.810871388817e+07       2.656904894549e-04       3.892252110638e-08       4.236794914401e+23       1.036545096174e+24       1.036545096174e+24       3.455133469164e+23      -2.048204292423e+27       1.390306524114e-04       8.072692363644e-02 
       6.796376431495e+08       1.636585178113e-15       6.820564121881e-04       9.964549448016e+11       1.415848726769e+04       2.083240589977e-05       9.622640931332e+12       3.937853520611e-04       5.870684957198e+23       8.044236114618e+17       3.492937956847e+04       4.090579641263e+18       1.852351465310e+09       0.000000000000e+00       1.645184537370e+08       8.485551670871e+07       2.629342448568e-04       3.892252110638e-08       4.058490662965e+23       9.929224570196e+23       9.929224570196e+23       3.309725206721e+23      -1.941029651057e+27       1.391512938281e-04       8.065701189720e-02 
       6.723713542015e+08       1.672149298938e-15       6.894273574289e-04       9.752618427755e+11       1.415848726032e+04       2.105754082292e-05       9.519761266822e+12       3.980409673787e-04       5.623618930199e+23       7.788971976367e+17       3.382098122608e+04       3.960775111387e+18       1.832547204736e+09       0.000000000000e+00       1.584440151726e+08       8.172243582086e+07       2.602044516101e-04       3.892252110638e-08       3.887690292817e+23       9.511356619740e+23       9.511356619740e+23       3.170436407672e+23      -1.839463046383e+27       1.392719353604e-04       8.058722210833e-02 
       6.651827521732e+08       1.708486254354e-15       6.968779616727e-04       9.545194865154e+11       1.415848725287e+04       2.128510876947e-05       9.417981531629e+12       4.023425728211e-04       5.386950603323e+23       7.541808020575e+17       3.274775519138e+04       3.835089610463e+18       1.812954679718e+09       0.000000000000e+00       1.525938602836e+08       7.870503622434e+07       2.575007254199e-04       3.892252110638e-08       3.724078005349e+23       9.111074501376e+23       9.111074501376e+23       3.037009536224e+23      -1.743211031393e+27       1.393925770098e-04       8.051755396632e-02 
       6.580710064814e+08       1.745612835417e-15       7.044090816635e-04       9.342182893260e+11       1.415848724533e+04       2.151513603300e-05       9.317289965949e+12       4.066906653862e-04       5.160242392457e+23       7.302487207785e+17       3.170858535730e+04       3.713392431193e+18       1.793571626558e+09       0.000000000000e+00       1.469597079516e+08       7.579904667426e+07       2.548230776436e-04       3.892252110638e-08       3.567351292245e+23       8.727638121113e+23       8.727638121113e+23       2.909197894900e+23      -1.651995514032e+27       1.395132187776e-04       8.044800716285e-02 
