# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 285.831 h/Mpc,
# number of wavenumbers equal to 587
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_dmeff/k2            4:-T_b/k2                5:-T_g/k2                6:-T_ur/k2               7:-T_ncdm/k2             8:-T_tot/k2          
       1.276745510353e+00       7.851700275810e+02       7.851694577895e+02       5.586447062694e+02       2.832283651458e-03       2.827546055238e-03       0.000000000000e+00       7.262667287208e+02 
       1.314032609857e+00       7.484350807907e+02       7.484344987530e+02       5.325135741604e+02       2.548736361083e-03       2.544473055903e-03       0.000000000000e+00       6.922884889700e+02 
       1.352406616090e+00       7.133591081964e+02       7.133585136275e+02       5.075602611286e+02       2.293390297564e-03       2.289554114950e-03       0.000000000000e+00       6.598443646762e+02 
       1.391899878741e+00       6.798854789910e+02       6.798848716006e+02       4.837486413216e+02       2.063504458538e-03       2.060052807296e-03       0.000000000000e+00       6.288826382457e+02 
       1.432545513656e+00       6.479303092400e+02       6.479296887328e+02       4.610152466299e+02       1.856514177181e-03       1.853408762034e-03       0.000000000000e+00       5.993251145821e+02 
       1.474377470207e+00       6.174304808594e+02       6.174298469345e+02       4.393166672055e+02       1.670162225738e-03       1.667368524720e-03       0.000000000000e+00       5.711136497058e+02 
       1.517430591891e+00       5.883257495620e+02       5.883251019132e+02       4.186113784032e+02       1.502412879407e-03       1.499899774354e-03       0.000000000000e+00       5.441927324001e+02 
       1.561740670711e+00       5.605521095477e+02       5.605514478629e+02       3.988528645330e+02       1.351413973318e-03       1.349153445905e-03       0.000000000000e+00       5.185030027550e+02 
       1.607344496212e+00       5.340513521765e+02       5.340506761379e+02       3.799993933260e+02       1.215504150336e-03       1.213470961383e-03       0.000000000000e+00       4.939905682495e+02 
       1.654279900224e+00       5.087680880099e+02       5.087673972934e+02       3.620116720410e+02       1.093186576619e-03       1.091357990250e-03       0.000000000000e+00       4.706042132773e+02 
