# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_dmeff          13:T_dmeff               14:Vrel_dmeff            15:dkappa_dmeff          16:dkappaT_dmeff         17:cdmeff2               18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_tot            22:(.)p_tot              23:(.)p_tot_prime        24:gr.fac. D             25:gr.fac. f          
       3.202593608556e+08       7.370365008543e-15       1.447422393539e-03       2.212624333081e+11       1.415848650232e+04       4.420943831364e-05       4.534387852075e+12       8.356692525904e-04       2.894585669601e+22       8.417013697751e+16       3.654804037235e+03       4.280141008005e+17       8.728664490034e+08       0.000000000000e+00       4.730931497258e+07       2.440125272238e+07       1.244668650928e-04       3.892252110638e-08       2.001069551318e+22       4.895706439342e+22       4.895706439342e+22       1.631885073640e+22      -4.509780575100e+25       1.475965759569e-04       7.604980370341e-02 
       3.168353347123e+08       7.530527960786e-15       1.463064583731e-03       2.165565197114e+11       1.415848648668e+04       4.468720780417e-05       4.485908819185e+12       8.447002661879e-04       2.772767894263e+22       8.149920375578e+16       3.538827779235e+03       4.144321212262e+17       8.635342704494e+08       0.000000000000e+00       4.556253507733e+07       2.350029658512e+07       1.231596029503e-04       3.892252110638e-08       1.916855135556e+22       4.689672622951e+22       4.689672622951e+22       1.563207676606e+22      -4.273801257311e+25       1.477172300639e-04       7.598785213701e-02 
       3.134479162577e+08       7.694171355671e-15       1.478875819885e-03       2.119506938300e+11       1.415848647087e+04       4.517014052840e-05       4.437948095815e+12       8.538288769384e-04       2.656076783699e+22       7.891302606054e+16       3.426531743836e+03       4.012811325206e+17       8.543018661050e+08       0.000000000000e+00       4.388025072618e+07       2.263260603354e+07       1.218654599628e-04       3.892252110638e-08       1.836184858386e+22       4.492309661501e+22       4.492309661501e+22       1.497420547362e+22      -4.050169824004e+25       1.478378844348e-04       7.592600347905e-02 
       3.100967141038e+08       7.861370834099e-15       1.494857924627e-03       2.074428269471e+11       1.415848645489e+04       4.565829228518e-05       4.390500140502e+12       8.630561395727e-04       2.544296583750e+22       7.640891438267e+16       3.317799148184e+03       3.885474582438e+17       8.451681692267e+08       0.000000000000e+00       4.226008057947e+07       2.179695281755e+07       1.205842970341e-04       3.892252110638e-08       1.758909565791e+22       4.303252645179e+22       4.303252645179e+22       1.434402049847e+22      -3.838240158066e+25       1.479585390726e-04       7.586425750047e-02 
       3.067813410471e+08       8.032203657166e-15       1.511012747869e-03       2.030308356205e+11       1.415848643873e+04       4.615171947634e-05       4.343559471029e+12       8.723831201768e-04       2.437220620206e+22       7.398426455804e+16       3.212516915243e+03       3.762178559441e+17       8.361321245180e+08       0.000000000000e+00       4.069973122417e+07       2.099215403795e+07       1.193160557361e-04       3.892252110638e-08       1.684886380858e+22       4.122152021277e+22       4.122152021277e+22       1.374035667022e+22      -3.637399951200e+25       1.480791939804e-04       7.580261396890e-02 
       3.035014140237e+08       8.206748793534e-15       1.527342154077e-03       1.987126807199e+11       1.415848642240e+04       4.665047911324e-05       4.297120663792e+12       8.818108964092e-04       2.334650916680e+22       7.163655505928e+16       3.110575556200e+03       3.642795033866e+17       8.271926879153e+08       0.000000000000e+00       3.919699392412e+07       2.021707047026e+07       1.180605834016e-04       3.892252110638e-08       1.613978439605e+22       3.948672947891e+22       3.948672947891e+22       1.316209785428e+22      -3.447068934844e+25       1.481998491615e-04       7.574107265797e-02 
       3.002565540653e+08       8.385086910016e-15       1.543848029542e-03       1.944863664842e+11       1.415848640590e+04       4.715462882339e-05       4.251178353173e+12       8.913405575423e-04       2.236397828562e+22       6.936334437353e+16       3.011869056601e+03       3.527199852186e+17       8.183488265478e+08       0.000000000000e+00       3.774974149636e+07       1.947060495362e+07       1.168177849643e-04       3.892252110638e-08       1.546054637929e+22       3.782494674824e+22       3.782494674824e+22       1.260817488830e+22      -3.266697203650e+25       1.483205046190e-04       7.567963333933e-02 
       2.970463862554e+08       8.567300419016e-15       1.560532284202e-03       1.903499395991e+11       1.415848638921e+04       4.766422685705e-05       4.205727230921e+12       9.009732046072e-04       2.142279692379e+22       6.716226846334e+16       2.916294766103e+03       3.415272800583e+17       8.095995185991e+08       0.000000000000e+00       3.635592529928e+07       1.875170083731e+07       1.155875833769e-04       3.892252110638e-08       1.480989389205e+22       3.623309950539e+22       3.623309950539e+22       1.207756360528e+22      -3.095763626699e+25       1.484411603561e-04       7.561829578431e-02 
       2.938705396858e+08       8.753473556614e-15       1.577396842549e-03       1.863014882945e+11       1.415848637235e+04       4.817933209401e-05       4.160762045534e+12       9.107099505904e-04       2.052122489910e+22       6.503103830823e+16       2.823753291717e+03       3.306897479929e+17       8.009437531259e+08       0.000000000000e+00       3.501357233064e+07       1.805934048398e+07       1.143698137182e-04       3.892252110638e-08       1.418662392086e+22       3.470824454074e+22       3.470824454074e+22       1.156928293998e+22      -2.933774341843e+25       1.485618163761e-04       7.555705977064e-02 
       2.907286474138e+08       8.943692352452e-15       1.594443654540e-03       1.823391414607e+11       1.415848635530e+04       4.870000405034e-05       4.116277601661e+12       9.205519204424e-04       1.965759526441e+22       6.296743752417e+16       2.734148394449e+03       3.201961184740e+17       7.923805300502e+08       0.000000000000e+00       3.372078243827e+07       1.739254383095e+07       1.131644084007e-04       3.892252110638e-08       1.358958408066e+22       3.324756250863e+22       3.324756250863e+22       1.108239311502e+22      -2.780261328835e+25       1.486824726822e-04       7.549592507111e-02 
       2.876203464198e+08       9.138044718911e-15       1.611674690139e-03       1.784610677839e+11       1.415848633807e+04       4.922630288532e-05       4.072268759494e+12       9.305002512936e-04       1.883031122554e+22       6.096932005864e+16       2.647386889216e+03       3.100354785961e+17       7.839088599659e+08       0.000000000000e+00       3.247572562779e+07       1.675036700163e+07       1.119712639678e-04       3.892252110638e-08       1.301767048423e+22       3.184835271457e+22       3.184835271457e+22       1.061599390326e+22      -2.634781057123e+25       1.488031292779e-04       7.543489146154e-02 
       2.845452775656e+08       9.336620497226e-15       1.629091939321e-03       1.746654748995e+11       1.415848632065e+04       4.975828940836e-05       4.028730434177e+12       9.405560925938e-04       1.803784318892e+22       5.903460795885e+16       2.563378547931e+03       3.001972617482e+17       7.755277640189e+08       0.000000000000e+00       3.127663947206e+07       1.613190096933e+07       1.107902370967e-04       3.892252110638e-08       1.246982570108e+22       3.050802812187e+22       3.050802812187e+22       1.016922296333e+22      -2.496913204399e+25       1.489237861664e-04       7.537395872167e-02 
       2.815030855525e+08       9.539511447123e-15       1.646697415708e-03       1.709506085639e+11       1.415848630305e+04       5.029602508606e-05       3.985657595219e+12       9.507206061582e-04       1.727872593347e+22       5.716128921075e+16       2.482036005678e+03       2.906712366249e+17       7.672362738674e+08       0.000000000000e+00       3.012182661862e+07       1.553627027166e+07       1.096212582143e-04       3.892252110638e-08       1.194503680238e+22       2.922411056837e+22       2.922411056837e+22       9.741254245281e+21      -2.366259442198e+25       1.490444433512e-04       7.531312662707e-02 
       2.784934188805e+08       9.746811348362e-15       1.664493151111e-03       1.673147518437e+11       1.415848628525e+04       5.083957204923e-05       3.943045265910e+12       9.609949664003e-04       1.655155590150e+22       5.534741564665e+16       2.403274669850e+03       2.814474965862e+17       7.590334314875e+08       0.000000000000e+00       2.900965238456e+07       1.496263176997e+07       1.084642032230e-04       3.892252110638e-08       1.144233348809e+22       2.799422618450e+22       2.799422618450e+22       9.331296463197e+21      -2.242442285049e+25       1.491651008357e-04       7.525239495810e-02 
       2.755159298076e+08       9.958616015086e-15       1.682481204625e-03       1.637562243219e+11       1.415848626726e+04       5.138899310018e-05       3.900888522752e+12       9.713803604194e-04       1.585498860364e+22       5.359110091917e+16       2.327012632183e+03       2.725164493549e+17       7.509182891025e+08       0.000000000000e+00       2.793854244372e+07       1.441017345653e+07       1.073189569210e-04       3.892252110638e-08       1.096078629298e+22       2.681610100417e+22       2.681610100417e+22       8.938591632207e+21      -2.125103999838e+25       1.492857586235e-04       7.519176349569e-02 
