# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 285.831 h/Mpc,
# number of wavenumbers equal to 587
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:t_g                    3:t_b                    4:t_cdm                  5:t_dmeff                6:t_ur                   7:t_tot              
       8.489558092359e-05       1.079471187822e-06       1.080248196466e-06       1.080248895185e-06       1.080248890733e-06       1.079419225472e-06       1.080218200345e-06 
       8.737457664304e-05       1.143383755406e-06       1.144255548540e-06       1.144256332363e-06       1.144256327367e-06       1.143325455907e-06       1.144221893219e-06 
       8.992596034440e-05       1.211077265379e-06       1.212055406139e-06       1.212056285514e-06       1.212056279909e-06       1.211011855666e-06       1.212017645272e-06 
       9.255184579492e-05       1.282775001377e-06       1.283872466288e-06       1.283873453683e-06       1.283873447394e-06       1.282701612165e-06       1.283830099540e-06 
       9.525440848495e-05       1.358713397094e-06       1.359944745507e-06       1.359945852542e-06       1.359945845485e-06       1.358631059872e-06       1.359897209716e-06 
       9.803588743031e-05       1.439142808325e-06       1.440524356082e-06       1.440525598054e-06       1.440525590137e-06       1.439050430333e-06       1.440471021860e-06 
       1.008985870272e-04       1.524328256706e-06       1.525878338558e-06       1.525879731988e-06       1.525879723105e-06       1.524224613343e-06       1.525818498149e-06 
       1.038448789616e-04       1.614550395825e-06       1.616289564795e-06       1.616291128088e-06       1.616291118121e-06       1.614434113931e-06       1.616222424716e-06 
       1.068772041737e-04       1.710106498073e-06       1.712057694205e-06       1.712059447189e-06       1.712059436006e-06       1.709976043313e-06       1.711982368216e-06 
       1.099980748807e-04       1.811310825261e-06       1.813500032355e-06       1.813501999121e-06       1.813501986573e-06       1.811164463277e-06       1.813415517998e-06 
       1.132100766576e-04       1.918496503752e-06       1.920952777795e-06       1.920954984480e-06       1.920954970401e-06       1.918332294932e-06       1.920857953436e-06 
       1.165158705797e-04       2.032016138059e-06       2.034772031540e-06       2.034774507332e-06       2.034774491535e-06       2.031831907628e-06       2.034665640469e-06 
       1.199181954271e-04       2.152242911878e-06       2.155334969064e-06       2.155337746777e-06       2.155337729053e-06       2.152036219594e-06       2.155215600523e-06 
       1.234198699538e-04       2.279571878806e-06       2.283041110945e-06       2.283044227460e-06       2.283044207573e-06       2.279339986785e-06       2.282907181785e-06 
       1.270237952227e-04       2.414421233242e-06       2.418313647318e-06       2.418317143969e-06       2.418317121656e-06       2.414161070399e-06       2.418163381516e-06 
       1.307329570095e-04       2.557233632081e-06       2.561600836381e-06       2.561604759508e-06       2.561604734472e-06       2.556941753502e-06       2.561432241664e-06 
       1.345504282758e-04       2.708477559714e-06       2.713377477732e-06       2.713381879508e-06       2.713381851417e-06       2.708150100078e-06       2.713188318186e-06 
       1.384793717157e-04       2.868648838305e-06       2.874146490412e-06       2.874151429463e-06       2.874151397944e-06       2.868281460484e-06       2.873934256251e-06 
       1.425230423754e-04       3.038272369733e-06       3.044440615718e-06       3.044446157438e-06       3.044446122074e-06       3.037860211618e-06       3.044202494281e-06 
       1.466847903501e-04       3.217903580142e-06       3.224824132368e-06       3.224830349879e-06       3.224830310200e-06       3.217441189276e-06       3.224556969082e-06 
       1.509680635597e-04       3.408130010861e-06       3.415894688675e-06       3.415901664441e-06       3.415901619920e-06       3.407611266985e-06       3.415594939122e-06 
