# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 285.831 h/Mpc,
# number of wavenumbers equal to 587
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:t_g                    3:t_b                    4:t_cdm                  5:t_dmeff                6:t_ur                   7:t_tot              
       2.739446113200e-01      -3.041162617064e-06       3.683527290489e-01       3.845289948546e-01       3.845289931040e-01      -2.973055674361e-06       3.672557589137e-01 
       2.830975201205e-01      -2.889867344228e-06       3.727189965716e-01       3.898657101123e-01       3.898657082172e-01      -2.825437634303e-06       3.722348598513e-01 
       2.925530248961e-01      -2.752902113735e-06       3.801821984878e-01       3.971251712894e-01       3.971251692369e-01      -2.691295033376e-06       3.792486956405e-01 
       3.023201470921e-01      -2.629164682485e-06       3.898555595484e-01       4.059126176393e-01       4.059126154158e-01      -2.569856454067e-06       3.878398527073e-01 
       3.124079684963e-01      -2.512601192804e-06       3.991549967943e-01       4.146771969913e-01       4.146771945817e-01      -2.455639270583e-06       3.963535345000e-01 
       3.228255989990e-01      -2.396090978621e-06       4.059316998779e-01       4.219307988014e-01       4.219307961893e-01      -2.341862111392e-06       4.032541619669e-01 
       3.335821408710e-01      -2.279365083056e-06       4.106419320857e-01       4.278135508251e-01       4.278135479928e-01      -2.228080094502e-06       4.087264639503e-01 
       3.446866496679e-01      -2.166413078705e-06       4.156439891510e-01       4.337267888245e-01       4.337267857529e-01      -2.117855411261e-06       4.142693885837e-01 
       3.561480920187e-01      -2.062085822930e-06       4.228576529294e-01       4.409972553923e-01       4.409972520607e-01      -2.015792642951e-06       4.212526293614e-01 
       3.679753007474e-01      -1.965873876281e-06       4.315965374260e-01       4.493231702270e-01       4.493231666129e-01      -1.921552121940e-06       4.293251701701e-01 
       3.801769280256e-01      -1.873935100067e-06       4.396262171421e-01       4.573258169376e-01       4.573258130167e-01      -1.831614690462e-06       4.370258188611e-01 
       3.927613975606e-01      -1.783893146312e-06       4.459397258469e-01       4.642791877863e-01       4.642791835325e-01      -1.743697964272e-06       4.436119488136e-01 
       4.057368572069e-01      -1.696578098235e-06       4.517660780801e-01       4.708443666503e-01       4.708443620351e-01      -1.658452118756e-06       4.498091023986e-01 
       4.191111338353e-01      -1.613940634463e-06       4.586842328348e-01       4.780128592245e-01       4.780128542174e-01      -1.577659376848e-06       4.566636834951e-01 
       4.328916928120e-01      -1.536934130717e-06       4.666448252462e-01       4.858991017413e-01       4.858990963093e-01      -1.502313120465e-06       4.642598605380e-01 
       4.470856050074e-01      -1.463811858821e-06       4.741974658622e-01       4.936247303186e-01       4.936247244263e-01      -1.430821811437e-06       4.716624796314e-01 
       4.616995248372e-01      -1.393038920338e-06       4.807880853567e-01       5.007352962363e-01       5.007352898456e-01      -1.361686561797e-06       4.784187399000e-01 
       4.767396833885e-01      -1.325085597147e-06       4.873904052843e-01       5.077691033189e-01       5.077690963888e-01      -1.295283604824e-06       4.851151595044e-01 
       4.922119011199e-01      -1.261373687070e-06       4.947999440678e-01       5.153288211456e-01       5.153288136321e-01      -1.232983986794e-06       4.923618219028e-01 
       5.081216248411e-01      -1.201110218192e-06       5.022693545639e-01       5.229740346859e-01       5.229740265418e-01      -1.174063010525e-06       4.996866580247e-01 
       5.244739935559e-01      -1.143255186183e-06       5.091631164161e-01       5.302460252884e-01       5.302460164631e-01      -1.117523409078e-06       5.066205622929e-01 
       5.412739371343e-01      -1.088182344668e-06       5.160379870183e-01       5.374826205048e-01       5.374826109442e-01      -1.063699635389e-06       5.135230340761e-01 
       5.585263105621e-01      -1.036101825457e-06       5.232592894181e-01       5.449300485111e-01       5.449300381573e-01      -1.012784041098e-06       5.206497004903e-01 
       5.762360645804e-01      -9.866878354478e-07       5.304476878528e-01       5.523694183439e-01       5.523694071351e-01      -9.644789169329e-07       5.277646901997e-01 
       5.944084508888e-01      -9.395835344729e-07       5.373851548441e-01       5.596411565357e-01       5.596411444058e-01      -9.184402538608e-07       5.347052984375e-01 
       6.130492568429e-01      -8.948681529651e-07       5.443823143241e-01       5.669352505607e-01       5.669352374391e-01      -8.747325156193e-07       5.416733076824e-01 
       6.321650610000e-01      -8.525014885799e-07       5.514886143202e-01       5.742972615281e-01       5.742972473392e-01      -8.333170074576e-07       5.487131496609e-01 
       6.517634973784e-01      -8.122173399187e-07       5.584820752633e-01       5.815828568721e-01       5.815828415355e-01      -7.939404778140e-07       5.556737438341e-01 
       6.718535134254e-01      -7.739158733123e-07       5.654190747433e-01       5.888192130217e-01       5.888191964511e-01      -7.565023609272e-07       5.625858416763e-01 
       6.924456050173e-01      -7.375716008446e-07       5.724083370314e-01       5.960822224916e-01       5.960822045949e-01      -7.209754161109e-07       5.695276201075e-01 
       7.135520118216e-01      -7.030459730887e-07       5.793668183081e-01       6.033229057724e-01       6.033228864509e-01      -6.872269810776e-07       5.764465904079e-01 
       7.351868583109e-01      -6.702212802612e-07       5.862866262711e-01       6.105321999652e-01       6.105321791132e-01      -6.551417152791e-07       5.833342215365e-01 
       7.573662295831e-01      -6.390134152950e-07       5.932122115854e-01       6.177369113684e-01       6.177368888725e-01      -6.246361522707e-07       5.902190824933e-01 
       7.801081765239e-01      -6.093270651789e-07       6.001179241726e-01       6.249238188376e-01       6.249237945759e-01      -5.956180264344e-07       5.970864937802e-01 
