# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_dmeff          13:T_dmeff               14:Vrel_dmeff            15:dkappa_dmeff          16:dkappaT_dmeff         17:cdmeff2               18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_tot            22:(.)p_tot              23:(.)p_tot_prime        24:gr.fac. D             25:gr.fac. f          
       1.320404215762e+10       4.336927132322e-18       3.511498107400e-05       3.760231228547e+14       1.433552179428e+04       1.085691913284e-06       1.892868341375e+14       2.027364330919e-05       8.357722786090e+28       5.799034914915e+21       2.561411181499e+08       2.914885924546e+22       3.598090000858e+10       0.000000000000e+00       2.782277762084e+17       5.012696858001e+13      -1.161109417791e+05       3.828010583277e-08       5.781612611260e+28       1.413933889214e+29       1.413933889214e+29       4.713111799117e+28      -5.368777214666e+33       1.087346407752e-04       1.060180211762e-01 
       1.306287224681e+10       4.431171519833e-18       3.549446591933e-05       3.680256657418e+14       1.433552179390e+04       1.097424940085e-06       1.872630897995e+14       2.049273967980e-05       8.005990513183e+28       5.615016739770e+21       2.480131068803e+08       2.822389156298e+22       3.559621322015e+10       0.000000000000e+00       2.650900835104e+17       4.776001328151e+13      -1.106357701563e+05       3.828010583277e-08       5.538295167397e+28       1.354428906447e+29       1.354428906447e+29       4.514761893527e+28      -5.087849655145e+33       1.088585532075e-04       1.058973459878e-01 
       1.292321164228e+10       4.527463884828e-18       3.587805440475e-05       3.601983027491e+14       1.433552179352e+04       1.109284765213e-06       1.852609821545e+14       2.071420381380e-05       7.669060788167e+28       5.436837930879e+21       2.401430181484e+08       2.732827546528e+22       3.521563928099e+10       0.000000000000e+00       2.525727421829e+17       4.550482372431e+13      -1.054162898799e+05       3.828010583277e-08       5.305217665652e+28       1.297428173033e+29       1.297428173033e+29       4.324759484606e+28      -4.821621959469e+33       1.089824656443e-04       1.057769452462e-01 
       1.278504420741e+10       4.625848736167e-18       3.626578654803e-05       3.525374162252e+14       1.433552179313e+04       1.121272758971e-06       1.832802798758e+14       2.093806129986e-05       7.346310650226e+28       5.264313190249e+21       2.325226674138e+08       2.646107955170e+22       3.483913421824e+10       0.000000000000e+00       2.406464597163e+17       4.335612241696e+13      -1.004412276441e+05       3.828010583277e-08       5.081949161112e+28       1.242826298388e+29       1.242826298388e+29       4.142753270446e+28      -4.569324940030e+33       1.091063780857e-04       1.056568180184e-01 
       1.264835397809e+10       4.726371598788e-18       3.665770964290e-05       3.450394654613e+14       1.433552179274e+04       1.133390306473e-06       1.813207541095e+14       2.116433800698e-05       7.037143355662e+28       5.097263099868e+21       2.251441298528e+08       2.562140197725e+22       3.446665452297e+10       0.000000000000e+00       2.292833266679e+17       4.130888104857e+13      -9.570517242189e+04       3.828010583277e-08       4.868076845054e+28       1.190522327258e+29       1.190522327258e+29       3.968406733572e+28      -4.330229657861e+33       1.092302905317e-04       1.055369633998e-01 
       1.251312516091e+10       4.829078889802e-18       3.705386734509e-05       3.377009850538e+14       1.433552179234e+04       1.145638807800e-06       1.793821784489e+14       2.139306007626e-05       6.740987274560e+28       4.935513935114e+21       2.179997321163e+08       2.480836951484e+22       3.409815716376e+10       0.000000000000e+00       2.184567516671e+17       3.935830877901e+13      -9.119195137690e+04       3.828010583277e-08       4.663205281684e+28       1.140419553063e+29       1.140419553063e+29       3.801397518748e+28      -4.103645316583e+33       1.093542029825e-04       1.054173804443e-01 
       1.237934213131e+10       4.934018060037e-18       3.745430694835e-05       3.305185833034e+14       1.433552179194e+04       1.158019678165e-06       1.774643289076e+14       2.162425393323e-05       6.457294833880e+28       4.778897484090e+21       2.110820443503e+08       2.402113664706e+22       3.373359956595e+10       0.000000000000e+00       2.081413989052e+17       3.749984097672e+13      -8.688935972269e+04       3.828010583277e-08       4.466955677008e+28       1.092425339089e+29       1.092425339089e+29       3.641416836963e+28      -3.888917266546e+33       1.094781154381e-04       1.052980682217e-01 
       1.224698943176e+10       5.041237620087e-18       3.785907392739e-05       3.234889406472e+14       1.433552179154e+04       1.170534348074e-06       1.755669838940e+14       2.185794629114e-05       6.185541505026e+28       4.627250872692e+21       2.043838724687e+08       2.325888468694e+22       3.337293960669e+10       0.000000000000e+00       1.983131288567e+17       3.572912853877e+13      -8.278856833771e+04       3.828010583277e-08       4.278965178464e+28       1.046450947210e+29       1.046450947210e+29       3.488168894497e+28      -3.685425113412e+33       1.096020278985e-04       1.051790258181e-01 
       1.211605177001e+10       5.150787176726e-18       3.826821557595e-05       3.166088081243e+14       1.433552179113e+04       1.183184263494e-06       1.736899241857e+14       2.209416415504e-05       5.925224834037e+28       4.480416395228e+21       1.978982506726e+08       2.252082092654e+22       3.301613560884e+10       0.000000000000e+00       1.889489417806e+17       3.404202771174e+13      -7.888453801717e+04       3.828010583277e-08       4.098886204031e+28       1.002411373819e+29       1.002411373819e+29       3.341370346023e+28      -3.492580925703e+33       1.097259403639e-04       1.050602523424e-01 
       1.198651401730e+10       5.262717317051e-18       3.868177918775e-05       3.098750058748e+14       1.433552179071e+04       1.195970886016e-06       1.718329329041e+14       2.233293481466e-05       5.675863512574e+28       4.338241350408e+21       1.916184342053e+08       2.180617781256e+22       3.266314635171e+10       0.000000000000e+00       1.800269241242e+17       3.243459043561e+13      -7.516414252718e+04       3.828010583277e-08       3.926385799575e+28       9.602251926591e+28       9.602251926591e+28       3.200749770716e+28      -3.309827536147e+33       1.098498528342e-04       1.049417468667e-01 
       1.185836120663e+10       5.377079752590e-18       3.909981023753e-05       3.032844216694e+14       1.433552179030e+04       1.208895693030e-06       1.699957954892e+14       2.257428585650e-05       5.436996488016e+28       4.200577882546e+21       1.855378923386e+08       2.111421214813e+22       3.231393105237e+10       0.000000000000e+00       1.715261970286e+17       3.090305506615e+13      -7.161732372121e+04       3.828010583277e-08       3.761145023237e+28       9.198144042732e+28       9.198144042732e+28       3.066047170418e+28      -3.136636931899e+33       1.099737653096e-04       1.048235084777e-01 
       1.173157853100e+10       5.493927355622e-18       3.952235965698e-05       2.968340094714e+14       1.433552178987e+04       1.221960177888e-06       1.681782996751e+14       2.281824516780e-05       5.208182111007e+28       4.067282827793e+21       1.796503015810e+08       2.044420431992e+22       3.196844936016e+10       0.000000000000e+00       1.634268674665e+17       2.944383757173e+13      -6.823718421472e+04       3.828010583277e-08       3.602858355730e+28       8.811042917885e+28       8.811042917885e+28       2.937013488912e+28      -2.972508729008e+33       1.100976777902e-04       1.047055362801e-01 
       1.160615134173e+10       5.613314180334e-18       3.994947655883e-05       2.905207880289e+14       1.433552178945e+04       1.235165850084e-06       1.663802354653e+14       2.306484093953e-05       4.988997318868e+28       3.938217565254e+21       1.739495391013e+08       1.979545754973e+22       3.162666135262e+10       0.000000000000e+00       1.557099817069e+17       2.805352314922e+13      -6.501905434351e+04       3.828010583277e-08       3.451233135456e+28       8.440232827692e+28       8.440232827692e+28       2.813410151442e+28      -2.816968726700e+33       1.102215902758e-04       1.045878293958e-01 
       1.148206514674e+10       5.735295358423e-18       4.038121005578e-05       2.843418394968e+14       1.433552178901e+04       1.248514235423e-06       1.646013951083e+14       2.331410166050e-05       4.779036853391e+28       3.813247872829e+21       1.684296763617e+08       1.916729716996e+22       3.128852754362e+10       0.000000000000e+00       1.483574811178e+17       2.672885826119e+13      -6.195227488892e+04       3.828010583277e-08       3.305989017395e+28       8.085028168841e+28       8.085028168841e+28       2.695008623595e+28      -2.669567537312e+33       1.103455027668e-04       1.044703869145e-01 
       1.135930560892e+10       5.859927244413e-18       4.081760744157e-05       2.782943080882e+14       1.433552178858e+04       1.262006876200e-06       1.628415730741e+14       2.356605612915e-05       4.577912511537e+28       3.692243787627e+21       1.630849729517e+08       1.855906992191e+22       3.095400886661e+10       0.000000000000e+00       1.413521597457e+17       2.546674299328e+13      -5.902852958788e+04       3.828010583277e-08       3.166857454760e+28       7.744772191429e+28       7.744772191429e+28       2.581589988766e+28      -2.529879287916e+33       1.104694152630e-04       1.043532079390e-01 
       1.123785854441e+10       5.987267464697e-18       4.125872146687e-05       2.723753987547e+14       1.433552178814e+04       1.275645331378e-06       1.611005660297e+14       2.382073345834e-05       4.385252427676e+28       3.575079470813e+21       1.579098706190e+08       1.797014327644e+22       3.062306666850e+10       0.000000000000e+00       1.346776240399e+17       2.426422379777e+13      -5.624246005103e+04       3.828010583277e-08       3.033581202479e+28       7.418835784678e+28       7.418835784678e+28       2.472944543385e+28      -2.397500389886e+33       1.105933277646e-04       1.042362915922e-01 
       1.111770992102e+10       6.117374919586e-18       4.170460306341e-05       2.665823758943e+14       1.433552178769e+04       1.289431176766e-06       1.593781728164e+14       2.407816307704e-05       4.200700386033e+28       3.461633076737e+21       1.528989874884e+08       1.739990477618e+22       3.029566270767e+10       0.000000000000e+00       1.283182545235e+17       2.311848658820e+13      -5.358980216687e+04       3.828010583277e-08       2.905913841560e+28       7.106616313747e+28       7.106616313747e+28       2.368871409198e+28      -2.272048372844e+33       1.107172402716e-04       1.041196370094e-01 
