# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
 1119       1.279968358658e+03       1.683016097135e+01       9.300295039313e-02      -5.869618021534e+01       4.288065378032e-09      -5.031103177624e-07       2.600069273320e-07 
 1120       1.280820825897e+03       1.665866700194e+01       9.302587316012e-02      -5.787666569031e+01       4.280552187157e-09      -5.084863439139e-07       2.544120977366e-07 
 1121       1.281596185941e+03       1.649150678390e+01       9.304806095126e-02      -5.704738754786e+01       4.273057286149e-09      -5.134331217026e-07       2.488292020328e-07 
 1122       1.282293210648e+03       1.632875394676e+01       9.306949164645e-02      -5.620877149282e+01       4.265580534754e-09      -5.179364630907e-07       2.432605664095e-07 
 1123       1.282910665287e+03       1.617048250802e+01       9.309014298336e-02      -5.536124648444e+01       4.258121784107e-09      -5.219820536248e-07       2.377085402483e-07 
 1124       1.283447308524e+03       1.601676687393e+01       9.310999255717e-02      -5.450524474385e+01       4.250680876655e-09      -5.255554519115e-07       2.321754962231e-07 
 1125       1.283901892410e+03       1.586768184021e+01       9.312901782025e-02      -5.364120176142e+01       4.243257646076e-09      -5.286420890917e-07       2.266638304004e-07 
 1126       1.284273162368e+03       1.572330259285e+01       9.314719608183e-02      -5.276955630411e+01       4.235851917198e-09      -5.312272683135e-07       2.211759623395e-07 
 1127       1.284559857179e+03       1.558370470883e+01       9.316450450770e-02      -5.189075042292e+01       4.228463505920e-09      -5.332961642053e-07       2.157143351934e-07 
 1128       1.284760708970e+03       1.544896415691e+01       9.318092011992e-02      -5.100522946022e+01       4.221092219133e-09      -5.348338223467e-07       2.102814158091e-07 
 1129       1.284874711861e+03       1.531914353393e+01       9.319642260980e-02      -5.011342808986e+01       4.213737901224e-09      -5.358293136729e-07       2.048791985454e-07 
 1130       1.284901931745e+03       1.519425057728e+01       9.321100281735e-02      -4.921572822462e+01       4.206400575078e-09      -5.362882871073e-07       1.995077059689e-07 
 1131       1.284842706967e+03       1.507427911696e+01       9.322465436098e-02      -4.831250057860e+01       4.199080304561e-09      -5.362206593951e-07       1.941664592720e-07 
 1132       1.284697380620e+03       1.495922279074e+01       9.323737083410e-02      -4.740411859117e+01       4.191777148205e-09      -5.356364828456e-07       1.888549718860e-07 
 1133       1.284466300560e+03       1.484907504362e+01       9.324914580509e-02      -4.649095843301e+01       4.184491159154e-09      -5.345459459749e-07       1.835727494420e-07 
 1134       1.284149819420e+03       1.474382912731e+01       9.325997281722e-02      -4.557339901220e+01       4.177222385105e-09      -5.329593741515e-07       1.783192897319e-07 
 1135       1.283748294618e+03       1.464347809969e+01       9.326984538864e-02      -4.465182198031e+01       4.169970868256e-09      -5.308872302420e-07       1.730940826690e-07 
 1136       1.283262088372e+03       1.454801482425e+01       9.327875701233e-02      -4.372661173843e+01       4.162736645248e-09      -5.283401152584e-07       1.678966102494e-07 
 1137       1.282691567713e+03       1.445743196958e+01       9.328670115604e-02      -4.279815544329e+01       4.155519747104e-09      -5.253287690062e-07       1.627263465123e-07 
 1138       1.282037104493e+03       1.437172200881e+01       9.329367126226e-02      -4.186684301328e+01       4.148320199180e-09      -5.218640707342e-07       1.575827575008e-07 
 1139       1.281299075402e+03       1.429087721910e+01       9.329966074819e-02      -4.093306713455e+01       4.141138021102e-09      -5.179570397851e-07       1.524653012224e-07 
 1140       1.280477861977e+03       1.421488968105e+01       9.330466300565e-02      -3.999722326708e+01       4.133973226708e-09      -5.136188362475e-07       1.473734276099e-07 
 1141       1.279573850615e+03       1.414375127824e+01       9.330867140108e-02      -3.905970965074e+01       4.126825823996e-09      -5.088607616088e-07       1.423065784814e-07 
