# Matter power spectrum P(k) at redshift z=0
# for k=1.00899e-05 to 311.717 h/Mpc,
# number of wavenumbers equal to 732
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       6.613127694760e-03       2.153189160880e+04 
       6.735167829630e-03       2.175773019107e+04 
       6.857313269518e-03       2.197902894468e+04 
       6.979559252335e-03       2.219565452891e+04 
       7.101901337569e-03       2.240802993883e+04 
       7.224335381610e-03       2.261579626083e+04 
       7.346857515298e-03       2.281997707196e+04 
       7.469464123462e-03       2.301916491106e+04 
       7.592151826260e-03       2.321404581256e+04 
       7.714917462131e-03       2.340472820789e+04 
       7.837758072220e-03       2.359119647032e+04 
       7.960670886125e-03       2.377354916853e+04 
       8.083653308837e-03       2.395179580425e+04 
       8.206702908768e-03       2.412597157170e+04 
       8.329817406768e-03       2.429612412483e+04 
       8.452994666029e-03       2.446233505223e+04 
       8.576232682811e-03       2.462452293246e+04 
       8.699529577895e-03       2.478288604439e+04 
       8.822883588726e-03       2.493740535807e+04 
       8.946293062158e-03       2.508810525860e+04 
       9.069756447766e-03       2.523513080433e+04 
       9.193272291674e-03       2.537833271807e+04 
       9.316839230844e-03       2.551792157003e+04 
       9.440455987805e-03       2.565386067808e+04 
       9.564121365765e-03       2.578620887333e+04 
       9.687834244097e-03       2.591500911210e+04 
       9.811593574147e-03       2.604029249283e+04 
       9.935398375353e-03       2.616211040725e+04 
       1.005924773164e-02       2.628050289895e+04 
       1.018314078810e-02       2.639560157493e+04 
       1.030707674783e-02       2.650718384891e+04 
       1.043105486913e-02       2.661551172368e+04 
       1.055507446275e-02       2.672056709061e+04 
       1.067913488946e-02       2.682241878875e+04 
       1.080323555769e-02       2.692106292336e+04 
       1.092737592137e-02       2.701654443429e+04 
       1.105155547799e-02       2.710888337046e+04 
       1.117577376663e-02       2.719815818330e+04 
       1.130003036633e-02       2.728438908563e+04 
       1.142432489439e-02       2.736757721714e+04 
       1.154865700492e-02       2.744791826477e+04 
       1.167302638740e-02       2.752512457833e+04 
       1.179743276539e-02       2.759957550705e+04 
       1.192187589533e-02       2.767101958374e+04 
       1.204635556540e-02       2.773967170494e+04 
       1.217087159446e-02       2.780551302160e+04 
       1.229542383110e-02       2.786866910644e+04 
       1.242001215270e-02       2.792902112600e+04 
       1.254463646463e-02       2.798678525084e+04 
       1.266929669944e-02       2.804169602309e+04 
       1.279399281615e-02       2.809414889657e+04 
