# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
 1388       8.371451266540e+02       2.055145588707e+01       0.000000000000e+00      -6.760394586351e+01       2.779808686581e-09       2.041427886445e-06      -2.270793135630e-07 
 1389       8.390469772276e+02       2.032885813119e+01       0.000000000000e+00      -6.735122160464e+01       2.775669302535e-09       2.039915895189e-06      -2.246075545148e-07 
 1390       8.409243438934e+02       2.010695418902e+01       0.000000000000e+00      -6.708296966561e+01       2.771538117371e-09       2.038382299179e-06      -2.221231255334e-07 
 1391       8.427758723436e+02       1.988583350985e+01       0.000000000000e+00      -6.679928610621e+01       2.767415091297e-09       2.036841177737e-06      -2.196263752274e-07 
 1392       8.446002009783e+02       1.966558603591e+01       0.000000000000e+00      -6.650026781661e+01       2.763300182183e-09       2.035306732160e-06      -2.171176554433e-07 
 1393       8.463959608927e+02       1.944630220318e+01       0.000000000000e+00      -6.618601251902e+01       2.759193345546e-09       2.033793286161e-06      -2.145973212768e-07 
 1394       8.481617758643e+02       1.922807294232e+01       0.000000000000e+00      -6.585661876930e+01       2.755094534527e-09       2.032315286309e-06      -2.120657310844e-07 
 1395       8.498962623405e+02       1.901098967949e+01       0.000000000000e+00      -6.551218595864e+01       2.751003699881e-09       2.030887302467e-06      -2.095232464959e-07 
 1396       8.515980294250e+02       1.879514433724e+01       0.000000000000e+00      -6.515281431524e+01       2.746920789953e-09       2.029524028230e-06      -2.069702324254e-07 
 1397       8.532656788658e+02       1.858062933538e+01       0.000000000000e+00      -6.477860490590e+01       2.742845750662e-09       2.028240281373e-06      -2.044070570838e-07 
 1398       8.548978050420e+02       1.836753759184e+01       0.000000000000e+00      -6.438965963773e+01       2.738778525485e-09       2.027051004287e-06      -2.018340919899e-07 
 1399       8.564929949509e+02       1.815596252355e+01       0.000000000000e+00      -6.398608125979e+01       2.734719055437e-09       2.025971264423e-06      -1.992517119831e-07 
 1400       8.580498281956e+02       1.794599804732e+01       0.000000000000e+00      -6.356797336473e+01       2.730667279054e-09       2.025016254734e-06      -1.966602952347e-07 
 1401       8.595668769721e+02       1.773773858068e+01       0.000000000000e+00      -6.313544039046e+01       2.726623132372e-09       2.024201294122e-06      -1.940602232599e-07 
 1402       8.610428605938e+02       1.753127088698e+01       0.000000000000e+00      -6.268861130456e+01       2.722586562775e-09       2.023537391064e-06      -1.914518591563e-07 
 1403       8.624771108553e+02       1.732664951588e+01       0.000000000000e+00      -6.222771092459e+01       2.718557570861e-09       2.023017857629e-06      -1.888354819225e-07 
 1404       8.638691114975e+02       1.712392110840e+01       0.000000000000e+00      -6.175298934499e+01       2.714536169409e-09       2.022631487048e-06      -1.862113511362e-07 
 1405       8.652183441072e+02       1.692313252984e+01       0.000000000000e+00      -6.126469832492e+01       2.710522369583e-09       2.022366971207e-06      -1.835797286424e-07 
 1406       8.665242881132e+02       1.672433087018e+01       0.000000000000e+00      -6.076309129137e+01       2.706516180924e-09       2.022212900276e-06      -1.809408785619e-07 
 1407       8.677864207835e+02       1.652756344444e+01       0.000000000000e+00      -6.024842334222e+01       2.702517611330e-09       2.022157762346e-06      -1.782950672988e-07 
 1408       8.690042172217e+02       1.633287779303e+01       0.000000000000e+00      -5.972095124935e+01       2.698526667046e-09       2.022189943058e-06      -1.756425635486e-07 
 1409       8.701771503637e+02       1.614032168214e+01       0.000000000000e+00      -5.918093346179e+01       2.694543352653e-09       2.022297725233e-06      -1.729836383064e-07 
 1410       8.713046909741e+02       1.594994310414e+01       0.000000000000e+00      -5.862863010873e+01       2.690567671051e-09       2.022469288506e-06      -1.703185648748e-07 
 1411       8.723863076432e+02       1.576179027788e+01       0.000000000000e+00      -5.806430300271e+01       2.686599623444e-09       2.022692708949e-06      -1.676476188719e-07 
 1412       8.734214667835e+02       1.557591164912e+01       0.000000000000e+00      -5.748821564264e+01       2.682639209334e-09       2.022955958708e-06      -1.649710782394e-07 
 1413       8.744096326262e+02       1.539235589092e+01       0.000000000000e+00      -5.690063321696e+01       2.678686426499e-09       2.023246905626e-06      -1.622892232505e-07 
 1414       8.753502672179e+02       1.521117190392e+01       0.000000000000e+00      -5.630182260669e+01       2.674741270985e-09       2.023553312876e-06      -1.596023365184e-07 
 1415       8.762428304175e+02       1.503240881683e+01       0.000000000000e+00      -5.569205238857e+01       2.670803737088e-09       2.023862838583e-06      -1.569107030037e-07 
 1416       8.770867798924e+02       1.485611598671e+01       0.000000000000e+00      -5.507159283812e+01       2.666873817346e-09       2.024163035456e-06      -1.542146100234e-07 
 1417       8.778815711154e+02       1.468234299937e+01       0.000000000000e+00      -5.444071593279e+01       2.662951502521e-09       2.024441350413e-06      -1.515143472579e-07 
 1418       8.786266573613e+02       1.451113966977e+01       0.000000000000e+00      -5.379969535500e+01       2.659036781583e-09       2.024685124206e-06      -1.488102067600e-07 
 1419       8.793214897036e+02       1.434255604237e+01       0.000000000000e+00      -5.314880649527e+01       2.655129641705e-09       2.024881591048e-06      -1.461024829627e-07 
 1420       8.799655170109e+02       1.417664239148e+01       0.000000000000e+00      -5.248832645533e+01       2.651230068239e-09       2.025017878238e-06      -1.433914726873e-07 
 1421       8.805581859438e+02       1.401344922167e+01       0.000000000000e+00      -5.181853405119e+01       2.647338044708e-09       2.025081005785e-06      -1.406774751517e-07 
