# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   59       1.740334118457e+03       2.124321587367e-01       1.047528313747e-03      -1.892783346225e+00       1.327843472908e-07       7.267356536632e-04      -1.895805667809e-06 
   60       1.764684299091e+03       2.234777401520e-01       1.083464333154e-03      -2.227179771086e+00       1.321116367356e-07       7.137853905102e-04      -1.967201827795e-06 
   61       1.789227913979e+03       2.348273997265e-01       1.120000453684e-03      -2.576053718887e+00       1.314083662416e-07       7.012060975566e-04      -2.025300674258e-06 
   62       1.813975962887e+03       2.464766304934e-01       1.157136037610e-03      -2.939346479204e+00       1.306842978882e-07       6.890248334583e-04      -2.069537952990e-06 
   63       1.838946317059e+03       2.584199723326e-01       1.194870616733e-03      -3.316977432518e+00       1.299549525237e-07       6.772875685640e-04      -2.100537203612e-06 
   64       1.864152309088e+03       2.706512077856e-01       1.233203764621e-03      -3.708844699891e+00       1.292307511085e-07       6.660101071544e-04      -2.119310046678e-06 
   65       1.889602377060e+03       2.831633418708e-01       1.272135100663e-03      -4.114824889402e+00       1.285157541565e-07       6.551741288001e-04      -2.127293496054e-06 
   66       1.915299708698e+03       2.959485818971e-01       1.311664294117e-03      -4.534772842584e+00       1.278062952601e-07       6.447230763020e-04      -2.126388527862e-06 
   67       1.941241885506e+03       3.089983172793e-01       1.351791068168e-03      -4.968521380863e+00       1.270895053294e-07       6.345578902129e-04      -2.118999905977e-06 
   68       1.967425001481e+03       3.223038152093e-01       1.392515267312e-03      -5.415885968346e+00       1.263496947095e-07       6.245726599251e-04      -2.107585433480e-06 
   69       1.993857783779e+03       3.358585164786e-01       1.433837066314e-03      -5.876680364114e+00       1.255943663462e-07       6.147845071400e-04      -2.093047942030e-06 
   70       2.020549707138e+03       3.496561707254e-01       1.475756811069e-03      -6.350703700555e+00       1.248357074413e-07       6.052349841102e-04      -2.075931148537e-06 
   71       2.047506535387e+03       3.636901598942e-01       1.518274964580e-03      -6.837735722099e+00       1.240828589171e-07       5.959516972565e-04      -2.056875661618e-06 
   72       2.074730080028e+03       3.779534963582e-01       1.561392112634e-03      -7.337536657394e+00       1.233412123751e-07       5.869465286363e-04      -2.036625148864e-06 
   73       2.102217958819e+03       3.924388210427e-01       1.605108969474e-03      -7.849847091477e+00       1.226116533929e-07       5.782137937597e-04      -2.016032658843e-06 
   74       2.129963354357e+03       4.071384015475e-01       1.649426383472e-03      -8.374387837953e+00       1.218897496139e-07       5.697283357552e-04      -1.996067097849e-06 
   75       2.157954772667e+03       4.220441302703e-01       1.694345342799e-03      -8.910859811170e+00       1.211648820826e-07       5.614435558825e-04      -1.977819861370e-06 
   76       2.186181070293e+03       4.371472507663e-01       1.739866901713e-03      -9.458955552326e+00       1.204249450541e-07       5.533098891353e-04      -1.962319585969e-06 
   77       2.214648127613e+03       4.524374833697e-01       1.785991931350e-03      -1.001839651691e+01       1.196746398483e-07       5.453407525437e-04      -1.949901947548e-06 
   78       2.243364791505e+03       4.679037359742e-01       1.832721333578e-03      -1.058890238616e+01       1.189220666564e-07       5.375608417002e-04      -1.940680655003e-06 
   79       2.272337745340e+03       4.835343543211e-01       1.880056120341e-03      -1.117018012570e+01       1.181732814004e-07       5.299862594891e-04      -1.934719940614e-06 
   80       2.301571375601e+03       4.993171145494e-01       1.927997417697e-03      -1.176192409671e+01       1.174318864943e-07       5.226235559831e-04      -1.932029533783e-06 
   81       2.331067638499e+03       5.152392157462e-01       1.976546469868e-03      -1.236381616701e+01       1.166985937779e-07       5.154687376721e-04      -1.932559480645e-06 
   82       2.360825926595e+03       5.312872724966e-01       2.025704643282e-03      -1.297552582228e+01       1.159707589061e-07       5.085062460263e-04      -1.936194809565e-06 
   83       2.390842935416e+03       5.474473074339e-01       2.075473430617e-03      -1.359671027717e+01       1.152418864740e-07       5.017079053909e-04      -1.942750042514e-06 
   84       2.421114854636e+03       5.637051825676e-01       2.125854428997e-03      -1.422700912971e+01       1.145047482618e-07       4.950441426241e-04      -1.951973522380e-06 
   85       2.451644651153e+03       5.800479917430e-01       2.176849261552e-03      -1.486602706279e+01       1.137631613539e-07       4.885233166964e-04      -1.963574391750e-06 
   86       2.482435754455e+03       5.964628864361e-01       2.228459650211e-03      -1.551334846541e+01       1.130230987600e-07       4.821601374747e-04      -1.977191975236e-06 
   87       2.513489746492e+03       6.129366574261e-01       2.280687443951e-03      -1.616854265360e+01       1.122891450530e-07       4.759636765844e-04      -1.992380910250e-06 
   88       2.544806267355e+03       6.294557347199e-01       2.333534622407e-03      -1.683116388985e+01       1.115642472897e-07       4.699368116349e-04      -2.008605414281e-06 
   89       2.576382920971e+03       6.460061874765e-01       2.387003299488e-03      -1.750075140257e+01       1.108494506192e-07       4.640756544589e-04      -2.025233409944e-06 
