# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
 2415       1.083689469629e+02       2.488270999188e+00       0.000000000000e+00      -4.643975522628e+00       7.618012515507e-10       6.975936820458e-08       2.566742219091e-09 
 2416       1.080992755633e+02       2.479536368221e+00       0.000000000000e+00      -4.559319249955e+00       7.609500500527e-10       7.066863676957e-08       2.337446208754e-09 
 2417       1.078254007070e+02       2.471347296602e+00       0.000000000000e+00      -4.475266127370e+00       7.600999054326e-10       7.158119927281e-08       2.099220917791e-09 
 2418       1.075474008915e+02       2.463698258855e+00       0.000000000000e+00      -4.391835839346e+00       7.592508174173e-10       7.249716439039e-08       1.852335149979e-09 
 2419       1.072653548979e+02       2.456583707796e+00       0.000000000000e+00      -4.309048131176e+00       7.584027856624e-10       7.341664131203e-08       1.597059149514e-09 
 2420       1.069793417908e+02       2.449998074507e+00       0.000000000000e+00      -4.226922809032e+00       7.575558097519e-10       7.433973974203e-08       1.333664604053e-09 
 2421       1.066894409188e+02       2.443935768311e+00       0.000000000000e+00      -4.145479740029e+00       7.567098891977e-10       7.526656990041e-08       1.062424647768e-09 
 2422       1.063957319148e+02       2.438391176752e+00       0.000000000000e+00      -4.064738852284e+00       7.558650234397e-10       7.619724252387e-08       7.836138644050e-10 
 2423       1.060982946963e+02       2.433358665571e+00       0.000000000000e+00      -3.984720134978e+00       7.550212118450e-10       7.713186886693e-08       4.975082903354e-10 
 2424       1.057972094658e+02       2.428832578678e+00       0.000000000000e+00      -3.905443638420e+00       7.541784537078e-10       7.807056070291e-08       2.043854176194e-10 
 2425       1.054925567108e+02       2.424807238134e+00       0.000000000000e+00      -3.826929474103e+00       7.533367482492e-10       7.901343032503e-08      -9.547580293220e-11 
 2426       1.051844172043e+02       2.421276944122e+00       0.000000000000e+00      -3.749197814769e+00       7.524960946165e-10       7.996059054745e-08      -4.017949586935e-10 
 2427       1.048728720054e+02       2.418235974929e+00       0.000000000000e+00      -3.672268894471e+00       7.516564918833e-10       8.091215470631e-08      -7.142901721554e-10 
 2428       1.045580024590e+02       2.415678586918e+00       0.000000000000e+00      -3.596163008631e+00       7.508179390489e-10       8.186823666081e-08      -1.032678097856e-09 
 2429       1.042398901963e+02       2.413599014506e+00       0.000000000000e+00      -3.520900514102e+00       7.499804350380e-10       8.282895079426e-08      -1.356673919308e-09 
 2430       1.039186171356e+02       2.411991470139e+00       0.000000000000e+00      -3.446501829233e+00       7.491439787004e-10       8.379441201510e-08      -1.685991345923e-09 
 2431       1.035942654818e+02       2.410850144272e+00       0.000000000000e+00      -3.372987433924e+00       7.483085688107e-10       8.476473575804e-08      -2.020342609933e-09 
