# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  557       2.638972201811e+03       9.442133916196e+00       6.811898535250e-02       8.167123138824e+00       1.474374614133e-08       1.649078676243e-06      -7.448849952492e-08 
  558       2.634680010056e+03       9.602720212470e+00       6.826262668777e-02       9.254220772896e+00       1.470059080284e-08       1.682816065008e-06      -9.026255183215e-08 
  559       2.630187140531e+03       9.768146864060e+00       6.840484475249e-02       1.032385783353e+01       1.465762683473e-08       1.717496549137e-06      -1.059688872871e-07 
  560       2.625496888417e+03       9.938360298186e+00       6.854563261467e-02       1.137547364468e+01       1.461485537582e-08       1.753104156639e-06      -1.216069907945e-07 
  561       2.620612613433e+03       1.011330569671e+01       6.868498340189e-02       1.240850211598e+01       1.457227727649e-08       1.789622396008e-06      -1.371763732691e-07 
  562       2.615537740144e+03       1.029292698991e+01       6.882289030179e-02       1.342237172296e+01       1.452989309262e-08       1.827034251128e-06      -1.526765720093e-07 
  563       2.610275758271e+03       1.047716685030e+01       6.895934656248e-02       1.441650548718e+01       1.448770307956e-08       1.865322176140e-06      -1.681071510727e-07 
  564       2.604830222996e+03       1.066596668638e+01       6.909434549304e-02       1.539032095638e+01       1.444570718597e-08       1.904468090299e-06      -1.834677016535e-07 
  565       2.599204755271e+03       1.085926663645e+01       6.922788046397e-02       1.634323018465e+01       1.440390504768e-08       1.944453372818e-06      -1.987578424607e-07 
  566       2.593403042127e+03       1.105700556240e+01       6.935994490764e-02       1.727463971261e+01       1.436229598140e-08       1.985258857676e-06      -2.139772200989e-07 
  567       2.587428836981e+03       1.125912104347e+01       6.949053231876e-02       1.818395054752e+01       1.432087897850e-08       2.026864828426e-06      -2.291255094499e-07 
  568       2.581285959943e+03       1.146554937010e+01       6.961963625483e-02       1.907055814349e+01       1.427965269864e-08       2.069251012968e-06      -2.442024140566e-07 
  569       2.574978298125e+03       1.167622553764e+01       6.974725033662e-02       1.993385238160e+01       1.423861546336e-08       2.112396578318e-06      -2.592076665079e-07 
  570       2.568509805949e+03       1.189108324019e+01       6.987336824861e-02       2.077321755008e+01       1.419776524969e-08       2.156280125342e-06      -2.741410288258e-07 
  571       2.561884505456e+03       1.211005486439e+01       6.999798373946e-02       2.158803232448e+01       1.415709968358e-08       2.200879683485e-06      -2.890022928535e-07 
  572       2.555106486611e+03       1.233307148319e+01       7.012109062244e-02       2.237766974779e+01       1.411661603343e-08       2.246172705473e-06      -3.037912806458e-07 
  573       2.548179907613e+03       1.256006284963e+01       7.024268277595e-02       2.314149721064e+01       1.407631120339e-08       2.292136062001e-06      -3.185078448604e-07 
  574       2.541108995202e+03       1.279095739067e+01       7.036275414394e-02       2.387887643143e+01       1.403618172679e-08       2.338746036394e-06      -3.331518691515e-07 
  575       2.533898044969e+03       1.302568220092e+01       7.048129873636e-02       2.458916343653e+01       1.399622375935e-08       2.385978319261e-06      -3.477232685645e-07 
  576       2.526551421662e+03       1.326416303650e+01       7.059831062965e-02       2.527170854037e+01       1.395643307246e-08       2.433808003117e-06      -3.622219899325e-07 
  577       2.519073559492e+03       1.350632430877e+01       7.071378396718e-02       2.592585632566e+01       1.391680504631e-08       2.482209576998e-06      -3.766480122749e-07 
  578       2.511468962447e+03       1.375208907813e+01       7.082771295971e-02       2.655094562355e+01       1.387733466306e-08       2.531156921047e-06      -3.910013471962e-07 
  579       2.503742204592e+03       1.400137904783e+01       7.094009188587e-02       2.714630949374e+01       1.383801649985e-08       2.580623301090e-06      -4.052820392885e-07 
  580       2.495897930384e+03       1.425411455776e+01       7.105091509259e-02       2.771127520467e+01       1.379884472185e-08       2.630581363184e-06      -4.194901665335e-07 
  581       2.487940854977e+03       1.451021457820e+01       7.116017699558e-02       2.824516421370e+01       1.375981307520e-08       2.681003128154e-06      -4.336258407078e-07 
  582       2.479875764528e+03       1.476959670366e+01       7.126787207979e-02       2.874729214721e+01       1.372091487989e-08       2.731859986106e-06      -4.476892077888e-07 
  583       2.471707334344e+03       1.503217620814e+01       7.137399769333e-02       2.921707469445e+01       1.368214481768e-08       2.783127071709e-06      -4.616800353977e-07 
  584       2.463439577697e+03       1.529786319772e+01       7.147856250495e-02       2.965434823524e+01       1.364350440871e-08       2.834796581530e-06      -4.755964572991e-07 
  585       2.455076383846e+03       1.556656537460e+01       7.158157825876e-02       3.005905718283e+01       1.360499679356e-08       2.886864944084e-06      -4.894361827342e-07 
  586       2.446621699198e+03       1.583818896260e+01       7.168305700130e-02       3.043114881258e+01       1.356662495911e-08       2.939328483029e-06      -5.031969051287e-07 
  587       2.438079527553e+03       1.611263870064e+01       7.178301108304e-02       3.077057327946e+01       1.352839173501e-08       2.992183416247e-06      -5.168763020671e-07 
  588       2.429453930348e+03       1.638981783617e+01       7.188145315973e-02       3.107728363554e+01       1.349029979017e-08       3.045425854925e-06      -5.304720352675e-07 
  589       2.420749026898e+03       1.666962811865e+01       7.197839619395e-02       3.135123584746e+01       1.345235162907e-08       3.099051802634e-06      -5.439817505568e-07 
  590       2.411968994644e+03       1.695196979300e+01       7.207385345646e-02       3.159238881394e+01       1.341454958822e-08       3.153057154403e-06      -5.574030778455e-07 
  591       2.403118069391e+03       1.723674159307e+01       7.216783852772e-02       3.180070438325e+01       1.337689583242e-08       3.207437695787e-06      -5.707336311030e-07 
  592       2.394200545559e+03       1.752384073508e+01       7.226036529930e-02       3.197614737071e+01       1.333939235113e-08       3.262189101938e-06      -5.839710083328e-07 
  593       2.385220776418e+03       1.781316291108e+01       7.235144797531e-02       3.211868557618e+01       1.330204095472e-08       3.317306936671e-06      -5.971127915478e-07 
  594       2.376183174341e+03       1.810460228243e+01       7.244110107387e-02       3.222828980153e+01       1.326484327068e-08       3.372786651522e-06      -6.101565467459e-07 
  595       2.367092211041e+03       1.839805147323e+01       7.252933942856e-02       3.230493386817e+01       1.322780073991e-08       3.428623584810e-06      -6.230998238859e-07 
  596       2.357952417816e+03       1.869340156380e+01       7.261617818984e-02       3.234859463448e+01       1.319091461285e-08       3.484812960691e-06      -6.359401568629e-07 
  597       2.348768385795e+03       1.899054208412e+01       7.270163282649e-02       3.235925201336e+01       1.315418594561e-08       3.541349888212e-06      -6.486750634842e-07 
  598       2.339544766182e+03       1.928936100731e+01       7.278571912710e-02       3.233688898967e+01       1.311761559615e-08       3.598229360359e-06      -6.613020454456e-07 
  599       2.330286270493e+03       1.958974474306e+01       7.286845320145e-02       3.228149163775e+01       1.308120422033e-08       3.655446253104e-06      -6.738185883072e-07 
  600       2.320997670811e+03       1.989157813111e+01       7.294985148203e-02       3.219304913888e+01       1.304495226795e-08       3.712995324450e-06      -6.862221614698e-07 
  601       2.311683800018e+03       2.019474443471e+01       7.302993072540e-02       3.207155379881e+01       1.300885997880e-08       3.770871213466e-06      -6.985102181514e-07 
  602       2.302349552048e+03       2.049912533405e+01       7.310870801370e-02       3.191700106520e+01       1.297292737863e-08       3.829068439332e-06      -7.106801953635e-07 
  603       2.292999882125e+03       2.080460091976e+01       7.318620075609e-02       3.172938954514e+01       1.293715427514e-08       3.887581400365e-06      -7.227295138876e-07 
  604       2.283639807010e+03       2.111104968633e+01       7.326242669013e-02       3.150872102264e+01       1.290154025385e-08       3.946404373055e-06      -7.346555782524e-07 
  605       2.274274405243e+03       2.141834852559e+01       7.333740388330e-02       3.125500047611e+01       1.286608467405e-08       4.005531511093e-06      -7.464557767099e-07 
