# Matter power spectrum P(k) at redshift z=0
# for k=1.00899e-05 to 311.717 h/Mpc,
# number of wavenumbers equal to 732
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.102519002648e-02       1.586146067474e+04 
       4.124536864909e-02       1.577440543324e+04 
       4.146888557768e-02       1.568721189547e+04 
       4.169590610945e-02       1.559992857595e+04 
       4.192660716262e-02       1.551259359587e+04 
       4.216117836580e-02       1.542525111081e+04 
       4.239982327573e-02       1.533769209538e+04 
       4.264276074171e-02       1.525018099748e+04 
       4.289022643795e-02       1.516248456948e+04 
       4.314247458885e-02       1.507452914620e+04 
       4.339977991653e-02       1.498660944605e+04 
       4.366243984506e-02       1.489834632820e+04 
       4.393077700229e-02       1.480996025072e+04 
       4.420514206774e-02       1.472136083692e+04 
       4.448591702403e-02       1.463241151369e+04 
       4.477351888095e-02       1.454324995651e+04 
       4.506840395472e-02       1.445384748612e+04 
       4.537107280193e-02       1.436399447060e+04 
       4.568207592869e-02       1.427376049139e+04 
       4.600202042096e-02       1.418317298564e+04 
       4.633157767441e-02       1.409203085353e+04 
       4.667149244199e-02       1.400041993741e+04 
       4.702259346770e-02       1.390829777793e+04 
       4.738580603812e-02       1.381545383257e+04 
       4.776216686325e-02       1.372214199938e+04 
       4.815284179910e-02       1.362782733976e+04 
       4.855914705339e-02       1.353275510091e+04 
       4.898257467937e-02       1.343680087802e+04 
       4.942482337166e-02       1.333972394146e+04 
       4.988783584399e-02       1.324158537723e+04 
       5.037384440658e-02       1.314204473579e+04 
       5.088542678591e-02       1.304103789628e+04 
       5.142557475811e-02       1.293835480698e+04 
       5.199777880719e-02       1.283361717684e+04 
       5.260613276058e-02       1.272664617536e+04 
       5.325546313978e-02       1.261703019554e+04 
       5.395148863664e-02       1.250431057838e+04 
       5.470101532082e-02       1.238778220159e+04 
       5.551217212906e-02       1.226662156949e+04 
       5.639468733598e-02       1.213978177954e+04 
       5.736019712000e-02       1.200612364967e+04 
       5.842255678318e-02       1.186311813202e+04 
       5.959808523717e-02       1.170870822977e+04 
       6.090560298768e-02       1.153890547813e+04 
       6.236601587015e-02       1.134894058756e+04 
       6.400107003002e-02       1.113253182866e+04 
       6.583085143363e-02       1.088174090971e+04 
       6.786984686181e-02       1.058760362425e+04 
       7.012219563471e-02       1.024248532238e+04 
       7.257802382177e-02       9.840981929060e+03 
       7.521336307830e-02       9.384606735118e+03 
       7.799466323895e-02       8.882593044374e+03 
       8.088590030171e-02       8.352236337312e+03 
       8.385475487479e-02       7.814230016900e+03 
       8.687574407247e-02       7.290824875277e+03 
       8.993052522849e-02       6.801334271825e+03 
       9.300668845375e-02       6.360332551826e+03 
       9.609617244779e-02       5.976581239959e+03 
       9.919387503480e-02       5.653265178603e+03 
       1.022966190530e-01       5.388553162261e+03 
       1.054024458037e-01       5.176546783888e+03 
       1.085101550885e-01       5.008556982459e+03 
       1.116190141288e-01       4.873851762190e+03 
       1.147285764314e-01       4.760895255873e+03 
       1.178385702048e-01       4.658628199806e+03 
       1.209488300347e-01       4.556751671169e+03 
       1.240592552020e-01       4.446680001612e+03 
       1.271697843082e-01       4.323388097328e+03 
       1.302803798500e-01       4.183811231635e+03 
       1.333910188464e-01       4.028269782594e+03 
       1.365016871486e-01       3.860013493911e+03 
       1.396123759832e-01       3.683327891998e+03 
       1.427230798540e-01       3.504074682299e+03 
       1.458337952670e-01       3.328310396770e+03 
       1.489445199557e-01       3.161486070288e+03 
       1.520552524099e-01       3.008027181753e+03 
       1.551659915883e-01       2.871118324308e+03 
