# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   69       1.992023809922e+03       3.345295903996e-01       0.000000000000e+00      -5.872865370952e+00       1.255927100670e-07       6.147755419255e-04      -2.093018941428e-06 
   70       2.018679053633e+03       3.482943677743e-01       0.000000000000e+00      -6.346981756776e+00       1.248340618774e-07       6.052261436712e-04      -2.075902705438e-06 
   71       2.045599442682e+03       3.622954274159e-01       0.000000000000e+00      -6.834129262561e+00       1.240812240027e-07       5.959429947179e-04      -2.056847815647e-06 
   72       2.072786830200e+03       3.765257924494e-01       0.000000000000e+00      -7.334069341364e+00       1.233395879659e-07       5.869379746893e-04      -2.036597911276e-06 
   73       2.100238877577e+03       3.909781137557e-01       0.000000000000e+00      -7.846543824191e+00       1.226100393246e-07       5.782053962865e-04      -2.016006008016e-06 
   74       2.127948813113e+03       4.056446680530e-01       0.000000000000e+00      -8.371274791914e+00       1.218881457715e-07       5.697200994307e-04      -1.996040974478e-06 
   75       2.155905190665e+03       4.205173559787e-01       0.000000000000e+00      -8.907964447193e+00       1.211632884810e-07       5.614354817546e-04      -1.977794163368e-06 
   76       2.184096913161e+03       4.355874287579e-01       0.000000000000e+00      -9.456306640793e+00       1.204233618583e-07       5.533019748163e-04      -1.962294172888e-06 
   77       2.212529894242e+03       4.508446149082e-01       0.000000000000e+00      -1.001602416027e+01       1.196730671598e-07       5.453329944813e-04      -1.949876677334e-06 
   78       2.241213010577e+03       4.662778300599e-01       0.000000000000e+00      -1.058683803996e+01       1.189205044714e-07       5.375532358937e-04      -1.940655396658e-06 
   79       2.270152975305e+03       4.818754268783e-01       0.000000000000e+00      -1.116845661889e+01       1.181717296385e-07       5.299788016361e-04      -1.934694578064e-06 
   80       2.299354204644e+03       4.976251875794e-01       0.000000000000e+00      -1.176057565173e+01       1.174303450328e-07       5.226162416419e-04      -1.932003970039e-06 
   81       2.328818684497e+03       5.135143164463e-01       0.000000000000e+00      -1.236287841962e+01       1.166970624918e-07       5.154615624416e-04      -1.932533642279e-06 
   82       2.358545837060e+03       5.295294323446e-01       0.000000000000e+00      -1.297503584116e+01       1.159692377149e-07       5.084992057430e-04      -1.936168651494e-06 
   83       2.388532387430e+03       5.456565612392e-01       0.000000000000e+00      -1.359670658324e+01       1.152403753947e-07       5.017009963437e-04      -1.942723553109e-06 
   84       2.418774554133e+03       5.618815677921e-01       0.000000000000e+00      -1.422753166746e+01       1.145032474190e-07       4.950373614795e-04      -1.951946721855e-06 
   85       2.449275330135e+03       5.781915487626e-01       0.000000000000e+00      -1.486711701903e+01       1.137616708237e-07       4.885166594306e-04      -1.963547307695e-06 
   86       2.480038169913e+03       5.945736579559e-01       0.000000000000e+00      -1.551504821475e+01       1.130216185388e-07       4.821535990869e-04      -1.977164635954e-06 
   87       2.511064679911e+03       6.110146875758e-01       0.000000000000e+00      -1.617089574836e+01       1.122876750757e-07       4.759572511006e-04      -1.992353344650e-06 
   88       2.542354524204e+03       6.275010681205e-01       0.000000000000e+00      -1.683421504897e+01       1.115627874511e-07       4.699304921160e-04      -2.008577651761e-06 
   89       2.573905330163e+03       6.440188682776e-01       0.000000000000e+00      -1.750454649945e+01       1.108480007989e-07       4.640694330128e-04      -2.025205480271e-06 
   90       2.605712594122e+03       6.605537948201e-01       0.000000000000e+00      -1.818141545480e+01       1.101421783114e-07       4.583628311658e-04      -2.041502440992e-06 
   91       2.637769587041e+03       6.770911925018e-01       0.000000000000e+00      -1.886433226052e+01       1.094417051512e-07       4.527914867184e-04      -2.056625673174e-06 
   92       2.670067260175e+03       6.936160439528e-01       0.000000000000e+00      -1.955279227106e+01       1.087401759753e-07       4.473276228716e-04      -2.069617542878e-06 
   93       2.702596932694e+03       7.101132244274e-01       0.000000000000e+00      -2.024628535959e+01       1.080310316130e-07       4.419443510721e-04      -2.079622330750e-06 
   94       2.735359021849e+03       7.265683101022e-01       0.000000000000e+00      -2.094432604370e+01       1.073171419404e-07       4.366479426276e-04      -2.086606931614e-06 
   95       2.768355457519e+03       7.429668917189e-01       0.000000000000e+00      -2.164642794569e+01       1.066034617969e-07       4.314516337022e-04      -2.090790219507e-06 
   96       2.801586961850e+03       7.592943339117e-01       0.000000000000e+00      -2.235209485156e+01       1.058941840649e-07       4.263659000813e-04      -2.092436445831e-06 
   97       2.835052993106e+03       7.755357786017e-01       0.000000000000e+00      -2.306082085965e+01       1.051926054524e-07       4.213981912959e-04      -2.091857808536e-06 
   98       2.868751689523e+03       7.916761483904e-01       0.000000000000e+00      -2.377209052933e+01       1.045009846599e-07       4.165526576598e-04      -2.089417075633e-06 
   99       2.902679813162e+03       8.077001499538e-01       0.000000000000e+00      -2.448537902970e+01       1.038203927691e-07       4.118298702191e-04      -2.085530263040e-06 
  100       2.936832693763e+03       8.235922774358e-01       0.000000000000e+00      -2.520015228822e+01       1.031505556902e-07       4.072265336145e-04      -2.080669366753e-06 
  101       2.971204172593e+03       8.393368158428e-01       0.000000000000e+00      -2.591586713942e+01       1.024896885039e-07       4.027351918564e-04      -2.075365149356e-06 
  102       3.005786546303e+03       8.549178444368e-01       0.000000000000e+00      -2.663197147356e+01       1.018343215360e-07       3.983439270118e-04      -2.070209980853e-06 
  103       3.040570510782e+03       8.703192401298e-01       0.000000000000e+00      -2.734790438533e+01       1.011791180012e-07       3.940360508051e-04      -2.065860733834e-06 
  104       3.075547074538e+03       8.855250664922e-01       0.000000000000e+00      -2.806310031627e+01       1.005188498573e-07       3.897956787961e-04      -2.062900787657e-06 
  105       3.110713714166e+03       9.005207933175e-01       0.000000000000e+00      -2.877700179935e+01       9.985537163662e-08       3.856264424710e-04      -2.061387514598e-06 
  106       3.146068949590e+03       9.152922488971e-01       0.000000000000e+00      -2.948904872117e+01       9.919215488637e-08       3.815359687109e-04      -2.061218869974e-06 
