# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 288.436 h/Mpc,
# number of wavenumbers equal to 1038
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_dmeff/k2            4:-T_b/k2                5:-T_g/k2                6:-T_ur/k2               7:-T_ncdm/k2             8:-T_tot/k2          
       3.802327690284e+01       1.781552018493e+00       1.768095650028e+00       1.255840664375e+00       7.177557961320e-09       7.165571965318e-09       0.000000000000e+00       1.635111099420e+00 
       3.861145868554e+01       1.726280439331e+00       1.712771931602e+00       1.216465547768e+00       6.742310961985e-09       6.731052357762e-09       0.000000000000e+00       1.583935724833e+00 
       3.920873904777e+01       1.672499222855e+00       1.658939207380e+00       1.178152089114e+00       6.332527076246e-09       6.321953288973e-09       0.000000000000e+00       1.534139622369e+00 
       3.981525873541e+01       1.620167418569e+00       1.606556568425e+00       1.140871071391e+00       5.946740225005e-09       5.936811131928e-09       0.000000000000e+00       1.485684934421e+00 
       4.043116067151e+01       1.569246131666e+00       1.555585162631e+00       1.104594981563e+00       5.583571538631e-09       5.574249322745e-09       0.000000000000e+00       1.438535744291e+00 
       4.105658999000e+01       1.519696733141e+00       1.505986406221e+00       1.069296278291e+00       5.241717859610e-09       5.232966883453e-09       0.000000000000e+00       1.392656348502e+00 
       4.169169406988e+01       1.471482233940e+00       1.457723356693e+00       1.034948753169e+00       4.919952513476e-09       4.911739190890e-09       0.000000000000e+00       1.348012588083e+00 
       4.233662256997e+01       1.424566345408e+00       1.410759774588e+00       1.001526588411e+00       4.617117741188e-09       4.609410422262e-09       0.000000000000e+00       1.304570936874e+00 
       4.299152746415e+01       1.378913938237e+00       1.365060581610e+00       9.690048490032e-01       4.332122453506e-09       4.324891312965e-09       0.000000000000e+00       1.262298951805e+00 
       4.365656307718e+01       1.334490852968e+00       1.320591671434e+00       9.373592745727e-01       4.063937876249e-09       4.057154809267e-09       0.000000000000e+00       1.221165086157e+00 
       4.433188612107e+01       1.291263967529e+00       1.277319977343e+00       9.065663736231e-01       3.811594292219e-09       3.805232815594e-09       0.000000000000e+00       1.181138759492e+00 
       4.501765573203e+01       1.249200824054e+00       1.235213099370e+00       8.766030469047e-01       3.574176630803e-09       3.568211791691e-09       0.000000000000e+00       1.142189994995e+00 
       4.571403350790e+01       1.208270096063e+00       1.194239771127e+00       8.474470670539e-01       3.350822833754e-09       3.345231120899e-09       0.000000000000e+00       1.104289874814e+00 
       4.642118354632e+01       1.168441480213e+00       1.154369751706e+00       8.190769654649e-01       3.140720537871e-09       3.135479798459e-09       0.000000000000e+00       1.067410434300e+00 
       4.713927248333e+01       1.129685412886e+00       1.115573542585e+00       7.914717696435e-01       2.943103513265e-09       2.938192875810e-09       0.000000000000e+00       1.031524390371e+00 
       4.786846953268e+01       1.091972965090e+00       1.077822282449e+00       7.646108971341e-01       2.757248850038e-09       2.752648652017e-09       0.000000000000e+00       9.966050392468e-01 
       4.860894652566e+01       1.055276480759e+00       1.041088385524e+00       7.384748027758e-01       2.582476205236e-09       2.578167921723e-09       0.000000000000e+00       9.626268777018e-01 
       4.936087795165e+01       1.019568636383e+00       1.005344601260e+00       7.130440401792e-01       2.418143018963e-09       2.414109199619e-09       0.000000000000e+00       9.295646902874e-01 
       5.012444099917e+01       9.848233731995e-01       9.705649467091e-01       6.883002023804e-01       2.263644729849e-09       2.259868935204e-09       0.000000000000e+00       8.973944560100e-01 
       5.089981559770e+01       9.510149868261e-01       9.367237961125e-01       6.642250159822e-01       2.118410449515e-09       2.114877194792e-09       0.000000000000e+00       8.660924650272e-01 
       5.168718446003e+01       9.181188717333e-01       9.037966253581e-01       6.408010860450e-01       1.981902836253e-09       1.978597535164e-09       0.000000000000e+00       8.356360416022e-01 
       5.248673312532e+01       8.861109529943e-01       8.717594439780e-01       6.180113452926e-01       1.853614914951e-09       1.850523828953e-09       0.000000000000e+00       8.060029953070e-01 
       5.329865000288e+01       8.549678804017e-01       8.405889891724e-01       5.958392401186e-01       1.733068833137e-09       1.730179022749e-09       0.000000000000e+00       7.771718081443e-01 
       5.412312641647e+01       8.246671776880e-01       8.102628750461e-01       5.742688940512e-01       1.619814531634e-09       1.617113809890e-09       0.000000000000e+00       7.491217817292e-01 
       5.496035664946e+01       7.951867682701e-01       7.807591187099e-01       5.532846342920e-01       1.513427223938e-09       1.510904114207e-09       0.000000000000e+00       7.218325771950e-01 
       5.581053799059e+01       7.665055848253e-01       7.520567493097e-01       5.328716023186e-01       1.413507199563e-09       1.411150893522e-09       0.000000000000e+00       6.952848068226e-01 
       5.667387078045e+01       7.386029096345e-01       7.241351489378e-01       5.130151037291e-01       1.319677137028e-09       1.317477457303e-09       0.000000000000e+00       6.694593954787e-01 
       5.755055845870e+01       7.114589181945e-01       6.969745958839e-01       4.937011569446e-01       1.231581879929e-09       1.229529242949e-09       0.000000000000e+00       6.443381089923e-01 
       5.844080761202e+01       6.850542171991e-01       6.705558028208e-01       4.749160267705e-01       1.148886350520e-09       1.146971733015e-09       0.000000000000e+00       6.199031049871e-01 
       5.934482802276e+01       6.593701824709e-01       6.448602548479e-01       4.566465798157e-01       1.071275022508e-09       1.069489928739e-09       0.000000000000e+00       5.961372638999e-01 
       6.026283271838e+01       6.343887569123e-01       6.198700067799e-01       4.388800700646e-01       9.984504743002e-10       9.967869058284e-10       0.000000000000e+00       5.730239902754e-01 
       6.119503802170e+01       6.100923226539e-01       5.955675564461e-01       4.216040338773e-01       9.301321721097e-10       9.285825995559e-10       0.000000000000e+00       5.505470931996e-01 
       6.214166360180e+01       5.864639533802e-01       5.719360957176e-01       4.048065296257e-01       8.660559353131e-10       8.646132709990e-10       0.000000000000e+00       5.286910282345e-01 
       6.310293252583e+01       5.634874048584e-01       5.489595016786e-01       3.884761342366e-01       8.059729871212e-10       8.046305592907e-10       0.000000000000e+00       5.074408897025e-01 
       6.407907131158e+01       5.411467106778e-01       5.266219322648e-01       3.726015568242e-01       7.496484856520e-10       7.484000152078e-10       0.000000000000e+00       4.867820209150e-01 
       6.507030998082e+01       5.194266708838e-01       5.049083143309e-01       3.571721041911e-01       6.968614663462e-10       6.957010436158e-10       0.000000000000e+00       4.667004844941e-01 
       6.607688211353e+01       4.983124931650e-01       4.838039854302e-01       3.421773553332e-01       6.474035430644e-10       6.463256067743e-10       0.000000000000e+00       4.471827197560e-01 
       6.709902490295e+01       4.777900009758e-01       4.632949010548e-01       3.276073445552e-01       6.010784904989e-10       6.000778074339e-10       0.000000000000e+00       4.282157400955e-01 
       6.813697921144e+01       4.578453263464e-01       4.433673281609e-01       3.134522862843e-01       5.577011552793e-10       5.567728017865e-10       0.000000000000e+00       4.097868403859e-01 
       6.919098962727e+01       4.384653099280e-01       4.240082437596e-01       2.997029521013e-01       5.170973533692e-10       5.162366969904e-10       0.000000000000e+00       3.918839805782e-01 
       7.026130452225e+01       4.196371579436e-01       4.052049930983e-01       2.863503404472e-01       4.791028142449e-10       4.783054971564e-10       0.000000000000e+00       3.744954556276e-01 
       7.134817611025e+01       4.013485505709e-01       3.869453967708e-01       2.733857942866e-01       4.435627633313e-10       4.428246864608e-10       0.000000000000e+00       3.576100011834e-01 
       7.245186050661e+01       3.835876452121e-01       3.692177540381e-01       2.608009993037e-01       4.103313911913e-10       4.096486992274e-10       0.000000000000e+00       3.412167959963e-01 
