      k/h             CDM           baryon          photon            nu            mass_nu          total           no_nu         total_de          Weyl            v_CDM            v_b           v_b-v_c    
 4.91343352e-05  2.42503849e+05  2.42503649e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44845553e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41388341e+05  2.41388288e+05  0.00000000e+00
 5.05690837e-05  2.42503758e+05  2.42503546e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44845400e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41388246e+05  2.41388191e+05  0.00000000e+00
 5.20457276e-05  2.42503662e+05  2.42503437e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44845238e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41388146e+05  2.41388087e+05  0.00000000e+00
 5.35654903e-05  2.42503560e+05  2.42503322e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44845067e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41388040e+05  2.41387978e+05  0.00000000e+00
 5.51296309e-05  2.42503451e+05  2.42503200e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44844885e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41387928e+05  2.41387862e+05  0.00000000e+00
 5.67394451e-05  2.42503337e+05  2.42503070e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44844693e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41387815e+05  2.41387745e+05  0.00000000e+00
 5.83962668e-05  2.42503216e+05  2.42502933e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44844489e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41387689e+05  2.41387615e+05  0.00000000e+00
 6.01014686e-05  2.42503087e+05  2.42502788e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44844273e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41387556e+05  2.41387478e+05  0.00000000e+00
 6.18564632e-05  2.42502951e+05  2.42502634e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44844045e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41387415e+05  2.41387332e+05  0.00000000e+00
 6.36627045e-05  2.42502807e+05  2.42502471e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44843803e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41387260e+05  2.41387172e+05  0.00000000e+00
