# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 1430.41 h/Mpc,
# number of wavenumbers equal to 1499
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_dmeff/k2            4:-T_idm_dr/k2           5:-T_b/k2                6:-T_g/k2                7:-T_ur/k2               8:-T_idr/k2              9:-T_ncdm/k2            10:-T_tot/k2          
       1.967365753673e-05       2.425051441057e+05       0.000000000000e+00       0.000000000000e+00       2.425051121259e+05       3.233349375199e+05       3.233343186901e+05       0.000000000000e+00       0.000000000000e+00       2.448477256068e+05 
       1.990146775431e-05       2.425051384749e+05       0.000000000000e+00       0.000000000000e+00       2.425051057501e+05       3.233348076173e+05       3.233341743734e+05       0.000000000000e+00       0.000000000000e+00       2.448477160837e+05 
       2.013191588987e-05       2.425051327607e+05       0.000000000000e+00       0.000000000000e+00       2.425050992737e+05       3.233346747526e+05       3.233340267589e+05       0.000000000000e+00       0.000000000000e+00       2.448477063871e+05 
       2.036503248908e-05       2.425051268734e+05       0.000000000000e+00       0.000000000000e+00       2.425050926064e+05       3.233345387398e+05       3.233338756527e+05       0.000000000000e+00       0.000000000000e+00       2.448476964242e+05 
       2.060084845129e-05       2.425051213507e+05       0.000000000000e+00       0.000000000000e+00       2.425050862850e+05       3.233344002315e+05       3.233337216958e+05       0.000000000000e+00       0.000000000000e+00       2.448476867358e+05 
       2.083939503365e-05       2.425051151017e+05       0.000000000000e+00       0.000000000000e+00       2.425050792192e+05       3.233342576969e+05       3.233335633561e+05       0.000000000000e+00       0.000000000000e+00       2.448476762183e+05 
       2.108070385524e-05       2.425051088664e+05       0.000000000000e+00       0.000000000000e+00       2.425050721479e+05       3.233341120544e+05       3.233334015404e+05       0.000000000000e+00       0.000000000000e+00       2.448476656166e+05 
       2.132480690130e-05       2.425051024866e+05       0.000000000000e+00       0.000000000000e+00       2.425050649128e+05       3.233339630206e+05       3.233332359568e+05       0.000000000000e+00       0.000000000000e+00       2.448476547688e+05 
       2.157173652742e-05       2.425050945845e+05       0.000000000000e+00       0.000000000000e+00       2.425050561354e+05       3.233338086840e+05       3.233330646847e+05       0.000000000000e+00       0.000000000000e+00       2.448476422812e+05 
       2.182152546384e-05       2.425050880469e+05       0.000000000000e+00       0.000000000000e+00       2.425050487024e+05       3.233336528161e+05       3.233328914879e+05       0.000000000000e+00       0.000000000000e+00       2.448476310665e+05 
       2.207420681983e-05       2.425050812299e+05       0.000000000000e+00       0.000000000000e+00       2.425050409689e+05       3.233334931488e+05       3.233327140874e+05       0.000000000000e+00       0.000000000000e+00       2.448476194620e+05 
       2.232981408803e-05       2.425050739207e+05       0.000000000000e+00       0.000000000000e+00       2.425050327218e+05       3.233333293193e+05       3.233325321104e+05       0.000000000000e+00       0.000000000000e+00       2.448476072506e+05 
       2.258838114889e-05       2.425050666993e+05       0.000000000000e+00       0.000000000000e+00       2.425050245408e+05       3.233331620165e+05       3.233323462387e+05       0.000000000000e+00       0.000000000000e+00       2.448475950153e+05 
       2.284994227521e-05       2.425050594124e+05       0.000000000000e+00       0.000000000000e+00       2.425050162719e+05       3.233329909538e+05       3.233321561745e+05       0.000000000000e+00       0.000000000000e+00       2.448475825988e+05 
       2.311453213663e-05       2.425050517911e+05       0.000000000000e+00       0.000000000000e+00       2.425050076457e+05       3.233328156869e+05       3.233319614638e+05       0.000000000000e+00       0.000000000000e+00       2.448475697267e+05 
       2.338218580424e-05       2.425050457882e+05       0.000000000000e+00       0.000000000000e+00       2.425050006127e+05       3.233326387362e+05       3.233317646127e+05       0.000000000000e+00       0.000000000000e+00       2.448475583679e+05 
       2.365293875526e-05       2.425050377822e+05       0.000000000000e+00       0.000000000000e+00       2.425049915543e+05       3.233324551755e+05       3.233315606917e+05       0.000000000000e+00       0.000000000000e+00       2.448475448634e+05 
       2.392682687769e-05       2.425050296206e+05       0.000000000000e+00       0.000000000000e+00       2.425049823160e+05       3.233322673806e+05       3.233313520621e+05       0.000000000000e+00       0.000000000000e+00       2.448475310756e+05 
       2.420388647510e-05       2.425050219007e+05       0.000000000000e+00       0.000000000000e+00       2.425049734945e+05       3.233320760532e+05       3.233311394156e+05       0.000000000000e+00       0.000000000000e+00       2.448475176047e+05 
       2.448415427145e-05       2.425050134307e+05       0.000000000000e+00       0.000000000000e+00       2.425049638969e+05       3.233318795096e+05       3.233309210554e+05       0.000000000000e+00       0.000000000000e+00       2.448475032440e+05 
       2.476766741593e-05       2.425050047325e+05       0.000000000000e+00       0.000000000000e+00       2.425049540448e+05       3.233316783468e+05       3.233306975679e+05       0.000000000000e+00       0.000000000000e+00       2.448474885176e+05 
       2.505446348790e-05       2.425049958792e+05       0.000000000000e+00       0.000000000000e+00       2.425049440109e+05       3.233314725621e+05       3.233304689378e+05       0.000000000000e+00       0.000000000000e+00       2.448474734963e+05 
       2.534458050186e-05       2.425049869267e+05       0.000000000000e+00       0.000000000000e+00       2.425049338501e+05       3.233312621267e+05       3.233302351255e+05       0.000000000000e+00       0.000000000000e+00       2.448474582331e+05 
       2.563805691252e-05       2.425049777004e+05       0.000000000000e+00       0.000000000000e+00       2.425049233875e+05       3.233310467027e+05       3.233299957801e+05       0.000000000000e+00       0.000000000000e+00       2.448474425484e+05 
       2.593493161985e-05       2.425049683748e+05       0.000000000000e+00       0.000000000000e+00       2.425049127966e+05       3.233308264151e+05       3.233297510139e+05       0.000000000000e+00       0.000000000000e+00       2.448474266151e+05 
       2.623524397428e-05       2.425049587697e+05       0.000000000000e+00       0.000000000000e+00       2.425049018970e+05       3.233306009135e+05       3.233295004637e+05       0.000000000000e+00       0.000000000000e+00       2.448474102480e+05 
       2.653903378188e-05       2.425049467397e+05       0.000000000000e+00       0.000000000000e+00       2.425048885444e+05       3.233303672169e+05       3.233292411425e+05       0.000000000000e+00       0.000000000000e+00       2.448473912773e+05 
       2.684634130965e-05       2.425049364308e+05       0.000000000000e+00       0.000000000000e+00       2.425048768800e+05       3.233301307528e+05       3.233289784495e+05       0.000000000000e+00       0.000000000000e+00       2.448473738852e+05 
       2.715720729089e-05       2.425049258778e+05       0.000000000000e+00       0.000000000000e+00       2.425048649399e+05       3.233298887754e+05       3.233287096325e+05       0.000000000000e+00       0.000000000000e+00       2.448473560838e+05 
       2.747167293055e-05       2.425049150775e+05       0.000000000000e+00       0.000000000000e+00       2.425048527201e+05       3.233296411599e+05       3.233284345522e+05       0.000000000000e+00       0.000000000000e+00       2.448473378664e+05 
       2.778977991069e-05       2.425049040254e+05       0.000000000000e+00       0.000000000000e+00       2.425048402156e+05       3.233293877766e+05       3.233281530644e+05       0.000000000000e+00       0.000000000000e+00       2.448473192244e+05 
       2.811157039606e-05       2.425048927159e+05       0.000000000000e+00       0.000000000000e+00       2.425048274198e+05       3.233291284915e+05       3.233278650203e+05       0.000000000000e+00       0.000000000000e+00       2.448473001483e+05 
